volume,aspiration_rate,dispense_rate,delay_aspirate,delay_dispense,blow_out_rate,delay_blow_out,%error,abs-err,oo
1000,58.844413144245785,36.01730695389376,10.669256989081031,0.1271057657142494,13.994938942732066,0.6775358043799163,-1.707288256345334,1.707288256345334,55.5547595616393
1000,65.058834268011,37.41759228316212,11.920674578946095,13.08911910908079,61.3709672835651,9.442280440108968,-2.028665963273872,2.028665963273872,67.10589316651797
1000,39.72699914015995,39.75808527941912,8.86523754499597,8.899930445317448,31.010909620978225,5.340437313083819,-0.9844103915083334,0.9844103915083334,68.08908273516398
1000,28.912319701865542,58.00568356636606,5.27229272768104,13.875796439010669,38.22402273929384,2.0382432882650714,-1.752070240207858,1.752070240207858,70.97511110183608
1000,17.91251895038042,71.75170359230114,0.0,15.0,82.5,10.639627814665856,-1.8108043195217718,1.8108043195217718,84.76382875398328
1000,80.66454634433907,18.767954445661836,14.780472835777774,6.0752727157558,58.29663379087382,0.5389690751698774,-1.6993795006059702,1.6993795006059702,86.53507738878865
1000,20.030447595956964,49.56925364197232,8.838018005249829,10.879752175306272,21.069208304631964,3.128423681941355,-1.586122395717456,1.586122395717456,89.81556267773485
1000,82.5,11.0,0.0,11.49112487541805,82.5,15.0,-1.74517731582001,1.74517731582001,114.52142790572108
1000,82.5,11.0,15.0,0.0,82.5,15.0,-1.7559851325254914,1.7559851325254914,118.03030303030303
1000,11.0,11.0,0.0,8.326672684688674e-16,82.5,0.0,-1.7383393162770717,1.7383393162770717,181.8181818181818
