,Time,Value,Factor,Baseline,Mass
0,2023-02-07 08:52:11.649747,-920609,6.862879436681862,-912177.7764705883,-1228.5256658228766
1,2023-02-07 08:52:11.651747,-920250,6.862879436681862,-912177.7764705883,-1176.215261230723
2,2023-02-07 08:52:11.652747,-919355,6.862879436681862,-912177.7764705883,-1045.8035283338495
3,2023-02-07 08:52:11.654825,-918651,6.862879436681862,-912177.7764705883,-943.2226792172028
4,2023-02-07 08:52:11.655827,-918074,6.862879436681862,-912177.7764705883,-859.1471821429055
5,2023-02-07 08:52:11.657783,-917450,6.862879436681862,-912177.7764705883,-768.223247698605
6,2023-02-07 08:52:11.659316,-916920,6.862879436681862,-912177.7764705883,-690.9961879943113
7,2023-02-07 08:52:11.661418,-916299,6.862879436681862,-912177.7764705883,-600.5093878502237
8,2023-02-07 08:52:11.662417,-915730,6.862879436681862,-912177.7764705883,-517.5995822431611
9,2023-02-07 08:52:11.663417,-915097,6.862879436681862,-912177.7764705883,-425.3642448982216
10,2023-02-07 08:52:11.665417,-914427,6.862879436681862,-912177.7764705883,-327.737584517322
11,2023-02-07 08:52:11.666417,-913876,6.862879436681862,-912177.7764705883,-247.45058471153735
12,2023-02-07 08:52:11.667497,-913775,6.862879436681862,-912177.7764705883,-232.73372993770022
13,2023-02-07 08:52:11.668504,-913706,6.862879436681862,-912177.7764705883,-222.6796410328016
14,2023-02-07 08:52:11.670498,-913738,6.862879436681862,-912177.7764705883,-227.3424069017401
15,2023-02-07 08:52:11.671499,-913734,6.862879436681862,-912177.7764705883,-226.7595611681228
16,2023-02-07 08:52:11.672512,-913740,6.862879436681862,-912177.7764705883,-227.63382976854876
17,2023-02-07 08:52:11.673510,-913703,6.862879436681862,-912177.7764705883,-222.24250673258862
18,2023-02-07 08:52:11.677106,-913718,6.862879436681862,-912177.7764705883,-224.42817823365354
19,2023-02-07 08:52:11.679105,-913709,6.862879436681862,-912177.7764705883,-223.1167753330146
20,2023-02-07 08:52:11.680104,-913734,6.862879436681862,-912177.7764705883,-226.7595611681228
21,2023-02-07 08:52:11.681104,-913725,6.862879436681862,-912177.7764705883,-225.44815826748385
22,2023-02-07 08:52:11.683106,-913712,6.862879436681862,-912177.7764705883,-223.55390963322756
23,2023-02-07 08:52:11.684107,-913746,6.862879436681862,-912177.7764705883,-228.50809836897471
24,2023-02-07 08:52:11.685107,-913749,6.862879436681862,-912177.7764705883,-228.9452326691877
25,2023-02-07 08:52:11.686106,-913688,6.862879436681862,-912177.7764705883,-220.0568352315237
26,2023-02-07 08:52:11.687107,-913753,6.862879436681862,-912177.7764705883,-229.52807840280502
27,2023-02-07 08:52:11.689106,-913698,6.862879436681862,-912177.7764705883,-221.51394956556697
28,2023-02-07 08:52:11.690250,-913753,6.862879436681862,-912177.7764705883,-229.52807840280502
29,2023-02-07 08:52:11.693163,-913736,6.862879436681862,-912177.7764705883,-227.05098403493145
30,2023-02-07 08:52:11.695158,-913697,6.862879436681862,-912177.7764705883,-221.36823813216265
31,2023-02-07 08:52:11.696158,-913679,6.862879436681862,-912177.7764705883,-218.74543233088474
32,2023-02-07 08:52:11.697158,-913721,6.862879436681862,-912177.7764705883,-224.86531253386653
33,2023-02-07 08:52:11.698159,-913741,6.862879436681862,-912177.7764705883,-227.77954120195307
34,2023-02-07 08:52:11.700158,-913765,6.862879436681862,-912177.7764705883,-231.27661560365695
35,2023-02-07 08:52:11.762587,-913752,6.862879436681862,-912177.7764705883,-229.3823669694007
36,2023-02-07 08:52:11.962557,-913780,6.862879436681862,-912177.7764705883,-233.46228710472187
37,2023-02-07 08:52:12.163511,-913717,6.862879436681862,-912177.7764705883,-224.2824668002492
38,2023-02-07 08:52:12.363337,-913703,6.862879436681862,-912177.7764705883,-222.24250673258862
39,2023-02-07 08:52:12.564349,-913749,6.862879436681862,-912177.7764705883,-228.9452326691877
40,2023-02-07 08:52:12.764325,-913772,6.862879436681862,-912177.7764705883,-232.29659563748723
41,2023-02-07 08:52:12.965037,-913745,6.862879436681862,-912177.7764705883,-228.36238693557038
42,2023-02-07 08:52:13.165550,-913694,6.862879436681862,-912177.7764705883,-220.93110383194968
43,2023-02-07 08:52:13.365143,-913688,6.862879436681862,-912177.7764705883,-220.0568352315237
44,2023-02-07 08:52:13.565566,-913755,6.862879436681862,-912177.7764705883,-229.81950126961368
45,2023-02-07 08:52:13.766333,-913752,6.862879436681862,-912177.7764705883,-229.3823669694007
46,2023-02-07 08:52:13.966732,-913746,6.862879436681862,-912177.7764705883,-228.50809836897471
47,2023-02-07 08:52:14.167191,-913806,6.862879436681862,-912177.7764705883,-237.25078437323438
48,2023-02-07 08:52:14.367674,-914243,6.862879436681862,-912177.7764705883,-300.92668077092566
49,2023-02-07 08:52:14.567478,-914658,6.862879436681862,-912177.7764705883,-361.3969256337217
50,2023-02-07 08:52:14.768360,-914916,6.862879436681862,-912177.7764705883,-398.99047545203825
51,2023-02-07 08:52:14.968297,-915354,6.862879436681862,-912177.7764705883,-462.81208328313386
52,2023-02-07 08:52:15.168652,-915722,6.862879436681862,-912177.7764705883,-516.4338907759266
53,2023-02-07 08:52:15.369266,-916030,6.862879436681862,-912177.7764705883,-561.3130122644595
54,2023-02-07 08:52:15.569244,-916365,6.862879436681862,-912177.7764705883,-610.1263424549093
55,2023-02-07 08:52:15.769719,-916744,6.862879436681862,-912177.7764705883,-665.3509757151495
56,2023-02-07 08:52:15.970426,-917034,6.862879436681862,-912177.7764705883,-707.6072914024046
57,2023-02-07 08:52:16.170539,-917165,6.862879436681862,-912177.7764705883,-726.6954891783715
58,2023-02-07 08:52:16.370749,-917211,6.862879436681862,-912177.7764705883,-733.3982151149706
59,2023-02-07 08:52:16.571744,-917150,6.862879436681862,-912177.7764705883,-724.5098176773066
60,2023-02-07 08:52:16.772244,-917179,6.862879436681862,-912177.7764705883,-728.7354492460322
61,2023-02-07 08:52:16.972387,-917222,6.862879436681862,-912177.7764705883,-735.0010408824182
62,2023-02-07 08:52:17.172562,-917133,6.862879436681862,-912177.7764705883,-722.0327233094331
63,2023-02-07 08:52:17.373094,-917071,6.862879436681862,-912177.7764705883,-712.9986144383647
64,2023-02-07 08:52:17.573137,-917135,6.862879436681862,-912177.7764705883,-722.3241461762417
65,2023-02-07 08:52:17.773749,-917124,6.862879436681862,-912177.7764705883,-720.7213204087941
66,2023-02-07 08:52:17.973754,-917177,6.862879436681862,-912177.7764705883,-728.4440263792235
67,2023-02-07 08:52:18.174584,-917091,6.862879436681862,-912177.7764705883,-715.9128431064513
68,2023-02-07 08:52:18.374749,-917134,6.862879436681862,-912177.7764705883,-722.1784347428375
69,2023-02-07 08:52:18.575337,-917164,6.862879436681862,-912177.7764705883,-726.5497777449673
70,2023-02-07 08:52:18.776010,-917133,6.862879436681862,-912177.7764705883,-722.0327233094331
71,2023-02-07 08:52:18.976831,-917139,6.862879436681862,-912177.7764705883,-722.906991909859
72,2023-02-07 08:52:19.177267,-917188,6.862879436681862,-912177.7764705883,-730.0468521466711
73,2023-02-07 08:52:19.377121,-917154,6.862879436681862,-912177.7764705883,-725.0926634109239
74,2023-02-07 08:52:19.576975,-917131,6.862879436681862,-912177.7764705883,-721.7413004426244
75,2023-02-07 08:52:19.777582,-917154,6.862879436681862,-912177.7764705883,-725.0926634109239
76,2023-02-07 08:52:19.977458,-917207,6.862879436681862,-912177.7764705883,-732.8153693813533
77,2023-02-07 08:52:20.178411,-917168,6.862879436681862,-912177.7764705883,-727.1326234785846
78,2023-02-07 08:52:20.378648,-917204,6.862879436681862,-912177.7764705883,-732.3782350811404
79,2023-02-07 08:52:20.578596,-917154,6.862879436681862,-912177.7764705883,-725.0926634109239
80,2023-02-07 08:52:20.779610,-917163,6.862879436681862,-912177.7764705883,-726.4040663115629
81,2023-02-07 08:52:20.979410,-917102,6.862879436681862,-912177.7764705883,-717.5156688738989
82,2023-02-07 08:52:21.180061,-917163,6.862879436681862,-912177.7764705883,-726.4040663115629
83,2023-02-07 08:52:21.380606,-917104,6.862879436681862,-912177.7764705883,-717.8070917407076
84,2023-02-07 08:52:21.580624,-917167,6.862879436681862,-912177.7764705883,-726.9869120451802
85,2023-02-07 08:52:21.781976,-917108,6.862879436681862,-912177.7764705883,-718.3899374743249
86,2023-02-07 08:52:21.981288,-917166,6.862879436681862,-912177.7764705883,-726.8412006117759
