,Time,Value,Factor,Baseline,Mass,Mass_smooth,Mass_derivative_smooth
232,2023-03-10 16:58:34.056718,265622,6.862879436681862,229594.66497461929,5249.59462828617,5334.2897992585695,-9.285501124304574
233,2023-03-10 16:58:34.257657,265560,6.862879436681862,229594.66497461929,5240.560519415101,5324.973874867952,-9.31592439061751
234,2023-03-10 16:58:34.454071,265507,6.862879436681862,229594.66497461929,5232.837813444672,5315.696379866361,-9.277495001590978
235,2023-03-10 16:58:34.655224,265343,6.862879436681862,229594.66497461929,5208.941138366362,5306.345228535798,-9.35115133056297
236,2023-03-10 16:58:34.846543,265218,6.862879436681862,229594.66497461929,5190.727209190821,5297.032506594263,-9.312721941534619
237,2023-03-10 16:58:35.045981,265141,6.862879436681862,229594.66497461929,5179.507428818688,5287.56606709661,-9.466439497653482
238,2023-03-10 16:58:35.255587,265013,6.862879436681862,229594.66497461929,5160.856365342934,5278.123645967102,-9.442421129508148
239,2023-03-10 16:58:35.455160,264951,6.862879436681862,229594.66497461929,5151.822256471865,5268.719654226624,-9.403991740477977
240,2023-03-10 16:58:35.640748,264842,6.862879436681862,229594.66497461929,5135.939710230794,5259.259619627142,-9.460034599482242
241,2023-03-10 16:58:35.846455,264760,6.862879436681862,229594.66497461929,5123.991372691639,5249.813996048548,-9.445623578593768
242,2023-03-10 16:58:36.046520,264667,6.862879436681862,229594.66497461929,5110.440209385037,5240.434022676212,-9.379973372335371
243,2023-03-10 16:58:36.246487,264628,6.862879436681862,229594.66497461929,5104.757463482268,5230.985196648532,-9.448826027680298
244,2023-03-10 16:58:36.454781,264554,6.862879436681862,229594.66497461929,5093.974817410348,5221.627640419796,-9.35755622873603
245,2023-03-10 16:58:36.646035,264467,6.862879436681862,229594.66497461929,5081.297922704171,5212.260476843805,-9.367163575991071
246,2023-03-10 16:58:36.858063,264413,6.862879436681862,229594.66497461929,5073.429505300337,5202.757209181662,-9.503267662143116
247,2023-03-10 16:58:37.041593,264367,6.862879436681862,229594.66497461929,5066.726779363738,5193.217113355039,-9.540095826622746
248,2023-03-10 16:58:37.246013,264310,6.862879436681862,229594.66497461929,5058.421227659692,5183.688226100211,-9.528887254828078
249,2023-03-10 16:58:37.458918,264270,6.862879436681862,229594.66497461929,5052.592770323518,5174.340277218734,-9.34794888147735
250,2023-03-10 16:58:37.661069,264221,6.862879436681862,229594.66497461929,5045.452910086707,5165.049972420802,-9.29030479793164
251,2023-03-10 16:58:37.862584,264190,6.862879436681862,229594.66497461929,5040.9358556511725,5155.746857826524,-9.303114594277758
252,2023-03-10 16:58:38.046445,264105,6.862879436681862,229594.66497461929,5028.550383811804,5146.733564874515,-9.013292952009579
