,lin,gpr,poly,SVR_linear,SVR_rbf,SVR_sigmoid,SVR_poly,SGD_l2-l1,SGD_elasticnet,KNR,DTR,KR_most,KR_polynomial,KR_sigmoid,PLSR,RFR
overall_test_score,2.107767895723908,2.216237467865691,17.322274656069677,1.927364000370191,2.1569573536782625,2.3148261042872993,1.8642510021301568,2.1303005746230608,2.1294463178036303,2.4297592933409162,2.377591895162611,2.1507906686297424,2.031810699806132,2.789855241325069,2.218550177324342,2.254913854931369
overall_std_test_score,2.512224158859455,2.924536483087126,49.89003649521021,2.5996593933268497,3.0650133578107837,2.940174244908786,2.612035609883776,2.7790088977351335,2.7794760633616105,3.154059867580471,2.731457026057798,3.0126964159438745,2.4852181799649236,3.8117233576085323,2.6250062419602886,2.677097462216691
params,{},"{'alpha': 0.4, 'n_restarts_optimizer': 1}",{},"{'C': 21, 'epsilon': 0.4}","{'C': 21, 'epsilon': 0.4, 'gamma': 'auto'}","{'C': 11, 'coef0': 0, 'epsilon': 0.8, 'gamma': 'auto'}","{'C': 11, 'coef0': 11, 'degree': 1, 'epsilon': 0.2, 'gamma': 'scale'}","{'alpha': 0.001, 'learning_rate': 'invscaling', 'penalty': 'l1', 'power_t': 0.25}","{'alpha': 0.0009000000000000001, 'l1_ratio': 0.6000000000000001, 'learning_rate': 'invscaling', 'power_t': 0.25}","{'algorithm': 'brute', 'leaf_size': 1, 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}","{'criterion': 'poisson', 'splitter': 'best'}","{'alpha': 4.1, 'kernel': 'poly'}","{'alpha': 4.1, 'coef0': 11, 'degree': 2, 'kernel': 'polynomial'}","{'alpha': 5.1, 'coef0': 1, 'degree': 1, 'kernel': 'sigmoid'}",{'n_components': 1},{'criterion': 'friedman_mse'}
