,experimental,prediction
0,9.134615385,6.600944382941574
1,4.372710623,1.7253547179987803
2,9.134615385,6.600944382941575
3,0.366300366,1.9819189844896412
4,16.01419414,16.177263235249914
5,4.326923077,3.2270507246102076
6,0.824175824,1.952597354029884
7,1.098901099,1.9350043757412205
8,11.85897436,6.193870071926969
9,6.326312576,3.116081181806476
10,2.205433455,1.864143768850172
11,12.87774725,15.00810084046162
12,9.603937729,7.98548672891668
13,8.161630037,7.745770808389306
14,11.13782051,11.772225708146266
15,1.568223443,1.9049497045487869
16,1.022588523,1.9398913141298344
17,16.90705128,7.654758785785143
18,1.865842491,1.8754142476566482
19,0.602869353,1.966769475395286
20,1.087454212,1.9357374165379362
21,0.572344322,1.9710433485326715
22,0.755494505,1.9569955986180587
23,4.532967033,7.288523681268768
24,6.181318681,4.848976081121911
25,6.135531136,2.3790208517573936
26,2.93040293,1.8177178539662282
27,6.181318681,7.320517980371692
28,3.924065285,3.2282552306983217
29,5.413435197,2.441016343746152
30,3.113786318,2.968071519012828
31,0.451441139,2.9172286497808777
32,1.597407107,1.8697822098834977
33,0.15048038,2.2700117206965533
34,0.613496933,4.006921703684888
35,2.905428869,2.985108161909202
36,0.173631207,2.699991047890069
37,10.31369371,2.3520734386776514
38,2.859127214,2.170679505930697
39,3.407030135,2.3539565052665345
40,0.972334761,1.668437407820253
41,0.821854381,2.6679529401619444
42,5.614075703,1.9782378269095904
43,7.686074777,2.328692263689054
44,0.266234518,3.396295645314555
45,3.715707837,3.037795394448217
46,1.250144693,3.6462186872092626
47,3.623104526,1.5066986007253353
48,0.490025852,2.684353400043322
49,9.989582128,2.280147649339898
50,1.647567234,2.8451806496466068
51,2.546591041,3.616033666158116
52,5.467453795,2.5276427738838234
53,2.106725315,1.5802546877198398
54,0.312536173,2.2613574103131895
55,0.15048038,2.7011352659914434
56,3.831461975,3.2427301555138737
57,4.387081838,2.6801674880895665
58,2.315082764,1.3842756334175599
59,1.73553719,0.5499002643335937
60,0.885478158,1.387191963550316
61,0.731995277,0.6707613310978803
62,2.40850059,3.871212977675283
63,2.361275089,0.899196112287072
64,0.25974026,0.4910581560560551
65,0.354191263,0.4753207183136171
66,0.425029516,0.46351763988182365
67,0.747737111,0.6688654712185665
68,0.80283353,1.414519731176087
69,0.669027942,0.6783447704947002
70,0.448642267,0.459583280404559
71,2.384887839,1.1635398335278646
72,1.121605667,0.3474540358856901
73,0.637544274,0.6821364902533272
74,0.708382527,0.673605120796416
75,0.38961039,0.4694191790144103
76,0.613931523,0.684980280072298
77,0.012223445,0.4539009599638289
78,1.82129324,1.5137057204629354
79,0.708959785,1.8265265606564436
80,2.212443467,1.6212995245407955
81,0.122234446,0.4441221981403951
82,0.452267449,0.4147859126700939
83,1.955751131,1.3950205321846048
84,0.42782056,0.41695897084320266
85,2.860286029,3.412396832523812
86,1.931304242,1.4034814346561577
87,3.581469258,0.5930786409347141
88,0.733406674,0.38979574354601026
89,1.870187019,1.5056152617943521
90,1.662388461,1.7407546884887195
91,1.307908569,0.3387288761668437
92,0.012223445,0.45390095996382884
93,0.513384672,0.40935326719287757
94,0.440044004,0.41587244180109273
95,2.383571691,1.8401870687876922
96,0.794523897,1.696972524267764
97,0.028521371,0.45245225451508964
98,0.582650858,0.4031962689912918
99,2.786945361,2.5746814210498288
100,3.751537515,2.3493155924008633
101,3.982164822,5.031892243577553
102,2.629151292,2.396088097885295
103,2.744464945,2.4250854913717457
104,2.444649446,2.772076826313251
105,0.023062731,2.4933585834165575
