liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out,delay_aspirate,delay_dispense,delay_blow_out,%error,time_asp_1000
Viscosity_std_817,rLine1000,1000.0,54.16311863044341,54.16311863044341,False,10,10,0,-21.7898270100867,56.925495624542236
Viscosity_std_817,rLine1000,500.0,54.16311863044341,54.16311863044341,False,10,10,0,-10.786600058115656,56.925495624542236
Viscosity_std_817,rLine1000,300.0,54.16311863044341,54.16311863044341,False,10,10,0,-12.531832676494927,56.925495624542236
Viscosity_std_817,rLine1000,"mean[100, 500, 1000]",54.16311863044341,54.16311863044341,False,10,10,0,-15.036086581565762,56.925495624542236
Viscosity_std_817,rLine1000,300.0,67.70389875000001,67.70389875000001,False,10,10,0,-17.72966552413347,49.54039629807877
Viscosity_std_817,rLine1000,500.0,67.70389875000001,67.70389875000001,False,10,10,0,-15.440553707127016,49.54039629807877
Viscosity_std_817,rLine1000,1000.0,67.70389875000001,67.70389875000001,False,10,10,0,-26.13913946239872,49.54039629807877
Viscosity_std_817,rLine1000,"mean[100, 500, 1000]",67.70389875000001,67.70389875000001,False,10,10,0,-19.769786231219737,49.54039629807877
Viscosity_std_817,rLine1000,300.0,67.70389875000001,5.4163119,False,10,10,0,-11.65405295719174,219.3976750120317
Viscosity_std_817,rLine1000,500.0,67.70389875000001,5.4163119,False,10,10,0,-9.01038697905514,219.3976750120317
Viscosity_std_817,rLine1000,1000.0,67.70389875000001,5.4163119,False,10,10,0,-7.395960750219054,219.3976750120317
Viscosity_std_817,rLine1000,"mean[100, 500, 1000]",67.70389875000001,5.4163119,False,10,10,0,-9.353466895488644,219.3976750120317
Viscosity_std_817,rLine1000,300.0,5.4163119,67.70389875000001,False,10,10,0,-10.759061870843391,219.3976750120317
Viscosity_std_817,rLine1000,500.0,5.4163119,67.70389875000001,False,10,10,0,-21.94645045019766,219.3976750120317
Viscosity_std_817,rLine1000,1000.0,5.4163119,67.70389875000001,False,10,10,0,-27.12707193079093,219.3976750120317
Viscosity_std_817,rLine1000,"mean[100, 500, 1000]",5.4163119,67.70389875000001,False,10,10,0,-19.94419475061066,219.3976750120317
Viscosity_std_817,rLine1000,1000.0,5.4163119,5.4163119,False,10,10,0,-2.211896996216746,389.25495372598465
Viscosity_std_817,rLine1000,500.0,5.4163119,5.4163119,False,10,10,0,-2.1809165355355105,389.25495372598465
Viscosity_std_817,rLine1000,300.0,5.4163119,5.4163119,False,10,10,0,-4.935882687230822,389.25495372598465
Viscosity_std_817,rLine1000,"mean[100, 500, 1000]",5.4163119,5.4163119,False,10,10,0,-3.109565406327693,389.25495372598465
Viscosity_std_817,rLine1000,500,5.416311863044341,5.416311863044341,False,10,10,0,-2.222223816443842,389.2549562454223
Viscosity_std_817,rLine1000,1000,5.416311863044341,5.416311863044341,False,10,10,0,-1.707603941793552,389.2549562454223
Viscosity_std_817,rLine1000,300,5.416311863044341,5.416311863044341,False,10,10,0,-3.576184690663157,389.2549562454223
Viscosity_std_817,rLine1000,"mean[100, 500, 1000]",5.416311863044341,5.416311863044341,False,10,10,0,-2.502004149633517,389.2549562454223
