liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out,delay_aspirate,delay_dispense,delay_blow_out,%error,time_asp_1000
Viscosity_std_505,rLine1000,1000,68.11997256753844,68.11997256753844,False,10,10,0,-15.237999524903852,49.3599648475647
Viscosity_std_505,rLine1000,500,68.11997256753844,68.11997256753844,False,10,10,0,-13.596795080939405,49.3599648475647
Viscosity_std_505,rLine1000,300,68.11997256753844,68.11997256753844,False,10,10,0,-9.722568094266697,49.3599648475647
Viscosity_std_505,rLine1000,"mean[100, 500, 1000]",68.11997256753844,68.11997256753844,False,10,10,0,-12.852454233369984,49.3599648475647
Viscosity_std_505,rLine1000,1000,85.14996570942304,85.14996570942304,False,10,10,0,-23.02449095639158,43.48797187805176
Viscosity_std_505,rLine1000,500,85.14996570942304,85.14996570942304,False,10,10,0,-9.774030537635731,43.48797187805176
Viscosity_std_505,rLine1000,300,85.14996570942304,85.14996570942304,False,10,10,0,-8.072413660151105,43.48797187805176
Viscosity_std_505,rLine1000,"mean[100, 500, 1000]",85.14996570942304,85.14996570942304,False,10,10,0,-13.623645051392806,43.48797187805176
Viscosity_std_505,rLine1000,500,6.811997256753844,85.14996570942304,False,10,10,0,-1.1350525442523292,178.54381017684938
Viscosity_std_505,rLine1000,300,6.811997256753844,85.14996570942304,False,10,10,0,-3.4184187815607365,178.54381017684938
Viscosity_std_505,rLine1000,1000,6.811997256753844,85.14996570942304,False,10,10,0,-21.782679822921565,178.54381017684938
Viscosity_std_505,rLine1000,"mean[100, 500, 1000]",6.811997256753844,85.14996570942304,False,10,10,0,-8.77871704957821,178.54381017684938
Viscosity_std_505,rLine1000,1000,85.14996570942304,6.811997256753844,False,10,10,0,-0.7910372978180699,178.54381017684938
Viscosity_std_505,rLine1000,500,85.14996570942304,6.811997256753844,False,10,10,0,-1.2491649186792462,178.54381017684938
Viscosity_std_505,rLine1000,300,85.14996570942304,6.811997256753844,False,10,10,0,-2.1710139042462475,178.54381017684938
Viscosity_std_505,rLine1000,"mean[100, 500, 1000]",85.14996570942304,6.811997256753844,False,10,10,0,-1.403738706914521,178.54381017684938
Viscosity_std_505,rLine1000,1000,6.811997256753844,6.811997256753844,False,10,10,0,-2.2912793969021408,313.599648475647
Viscosity_std_505,rLine1000,500,6.811997256753844,6.811997256753844,False,10,10,0,-0.6752468002377469,313.599648475647
Viscosity_std_505,rLine1000,300,6.811997256753844,6.811997256753844,False,10,10,0,-1.2144837068436418,313.599648475647
Viscosity_std_505,rLine1000,"mean[100, 500, 1000]",6.811997256753844,6.811997256753844,False,10,10,0,-1.3936699679945097,313.599648475647
Viscosity_std_505,rLine1000,1000,32.09420827080498,17.355935476140722,False,10,10,0,-1.760992480447357,108.7754464253754
Viscosity_std_505,rLine1000,500,32.09420827080498,17.355935476140722,False,10,10,0,-1.9841828598413054,108.7754464253754
Viscosity_std_505,rLine1000,300,32.09420827080498,17.355935476140722,False,10,10,0,-7.037571048926082,108.7754464253754
Viscosity_std_505,rLine1000,"mean[100, 500, 1000]",32.09420827080498,17.355935476140722,False,10,10,0,-3.5942487964049143,108.7754464253754
Viscosity_std_505,rLine1000,1000,29.33796750286064,15.689329386107294,False,10,10,0,-1.6066051503402807,117.82311136491569
Viscosity_std_505,rLine1000,500,29.33796750286064,15.689329386107294,False,10,10,0,-3.0514691853641778,117.82311136491569
Viscosity_std_505,rLine1000,300,29.33796750286064,15.689329386107294,False,10,10,0,-3.7596371560727757,117.82311136491569
Viscosity_std_505,rLine1000,"mean[100, 500, 1000]",29.33796750286064,15.689329386107294,False,10,10,0,-2.8059038305924116,117.82311136491569
Viscosity_std_505,rLine1000,1000,28.711157015342756,15.299681005104878,False,10,10,0,-1.6552707217870606,120.19050552998553
Viscosity_std_505,rLine1000,500,28.711157015342756,15.299681005104878,False,10,10,0,-0.8934028101716689,120.19050552998553
Viscosity_std_505,rLine1000,300,28.711157015342756,15.299681005104878,False,10,10,0,-3.9274494714065593,120.19050552998553
Viscosity_std_505,rLine1000,"mean[100, 500, 1000]",28.711157015342756,15.299681005104878,False,10,10,0,-2.1587076677884296,120.19050552998553
Viscosity_std_505,rLine1000,1000,29.275010809112302,15.654239418923048,False,10,10,0,-2.2879231505954696,118.0392850269531
Viscosity_std_505,rLine1000,500,29.275010809112302,15.654239418923048,False,10,10,0,-2.621869658109689,118.0392850269531
Viscosity_std_505,rLine1000,300,29.275010809112302,15.654239418923048,False,10,10,0,-5.516072723233066,118.0392850269531
Viscosity_std_505,rLine1000,"mean[100, 500, 1000]",29.275010809112302,15.654239418923048,False,10,10,0,-3.475288510646075,118.0392850269531
Viscosity_std_505,rLine1000,1000,27.90306259386922,14.806372154580735,False,10,10,0,-1.0192620466720062,123.37684872075505
Viscosity_std_505,rLine1000,500,27.90306259386922,14.806372154580735,False,10,10,0,-3.6253873038057542,123.37684872075505
Viscosity_std_505,rLine1000,300,27.90306259386922,14.806372154580735,False,10,10,0,-3.5806373530500673,123.37684872075505
Viscosity_std_505,rLine1000,"mean[100, 500, 1000]",27.90306259386922,14.806372154580735,False,10,10,0,-2.7417622345092756,123.37684872075505
