liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,Time for 1000ul,%error
Viscosity_std_505.4,p1000,1000,43,43,0,0,0,0,46.51162791,-18.65714615
Viscosity_std_505,p1000,1000,21.5,21.5,0,0,0,0,93.02325581,-6.967637913
Viscosity_std_505,p1000,1000,38.7,36.55,0,0,0,0,53.1995744,-15.45548773
