liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out,delay_aspirate,delay_dispense,delay_blow_out,density,time,m,%error
Viscosity_std_1275,rLine1000,1000.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,533.6400740146637,0.8634713832107064,-1.1594112625107216
Viscosity_std_1275,rLine1000,1000.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,532.1430015563965,0.8608777196961092,-1.4563049798409895
Viscosity_std_1275,rLine1000,1000.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,532.4004833698273,0.8689938465367303,-0.5272611565098165
Viscosity_std_1275,rLine1000,1000.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,532.2087681293488,0.8616354191498117,-1.3695719837669833
Viscosity_std_1275,rLine1000,1000.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,532.3310708999634,0.8614751365730671,-1.387919348321082
Viscosity_std_1275,rLine1000,1000.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,534.046534538269,0.7836943734218368,-10.291394983764109
Viscosity_std_1275,rLine1000,1000.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,532.1467213630676,0.8615771345764499,-1.376243752695757
Viscosity_std_1275,rLine1000,1000.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,532.1854419708252,0.8501096447675293,-2.688914289431179
Viscosity_std_1275,rLine1000,1000.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,532.1854178905487,0.8589251864884913,-1.6798092389547608
Viscosity_std_1275,rLine1000,1000.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,532.2177729606628,0.852251602838573,-2.4437267812988783
Viscosity_std_1275,rLine1000,1000.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,532.3898446559906,0.8555592523768514,-2.0651038945911937
Viscosity_std_1275,rLine1000,500.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,299.54696917533875,0.3600383807987539,-17.573630769516054
Viscosity_std_1275,rLine1000,500.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,297.6407036781311,0.41788581986027173,-4.33016944590849
Viscosity_std_1275,rLine1000,500.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,297.75954818725586,0.4117950819439709,-5.724569152021316
Viscosity_std_1275,rLine1000,500.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,297.67262291908264,0.41396618230169535,-5.227522366827992
Viscosity_std_1275,rLine1000,500.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,297.6134054660797,0.41501530462220654,-4.987338685392281
Viscosity_std_1275,rLine1000,500.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,297.8492214679718,0.4124507833942905,-5.57445435112398
Viscosity_std_1275,rLine1000,500.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,297.9332420825958,0.41631213637950504,-4.690444968062038
Viscosity_std_1275,rLine1000,500.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,297.840167760849,0.41549615235244075,-4.8772544980675985
Viscosity_std_1275,rLine1000,500.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,297.9092538356781,0.4205814813782518,-3.7130308199973037
Viscosity_std_1275,rLine1000,500.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,297.7675769329071,0.4155835792124834,-4.857239191281278
Viscosity_std_1275,rLine1000,500.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,297.9784059524536,0.41701155125984574,-4.530322513771585
Viscosity_std_1275,rLine1000,300.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,203.85109901428223,0.23718907129556488,-9.497454481240519
Viscosity_std_1275,rLine1000,300.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,203.96440362930298,0.24601918415986712,-6.128211172211887
Viscosity_std_1275,rLine1000,300.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,203.92726111412048,0.2462377513099736,-6.044814060602269
Viscosity_std_1275,rLine1000,300.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,204.12866711616516,0.2488605571112515,-5.0440487212868375
Viscosity_std_1275,rLine1000,300.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,203.97462582588196,0.2448972061226538,-6.556316345141264
Viscosity_std_1275,rLine1000,300.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,204.01584577560425,0.24341094950192962,-7.123416704086694
Viscosity_std_1275,rLine1000,300.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,203.97777152061462,0.2442852181023556,-6.789828257648213
Viscosity_std_1275,rLine1000,300.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,204.00635170936584,0.24727230248714432,-5.650067732316739
Viscosity_std_1275,rLine1000,300.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,204.03885221481323,0.2435420897919936,-7.073378437120892
Viscosity_std_1275,rLine1000,300.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,204.14424657821655,0.24963282770829445,-4.749378926932837
Viscosity_std_1275,rLine1000,300.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,204.00181674957275,0.2494871162748901,-4.804977001339263
