,target_volume,1,2,3,4,5,6,7,8,9,10,mean_volume,mean_error,relative_error,std_dev,relative_std_dev
0,1000,990.7280219780188,986.1492673992668,982.9441391941419,975.8470695970685,970.6959706959694,976.0760073260099,974.3589743589728,976.7628205128213,975.6181318681314,987.1794871794882,979.6359890109889,-20.36401098901115,-2.036401098901115,6.60389344107493,0.6741170715606337
1,500,486.26373626373356,483.17307692307725,478.25091575091545,479.7390109890112,478.36538461538805,478.5943223443212,470.009157509156,475.3891941391964,470.23809523809325,470.2380952380973,477.026098901099,-22.973901098901024,-4.594780219780205,5.580753367167246,1.169905248376
2,300,266.94139194139206,272.7793040293027,265.45329670329613,266.94139194139206,265.6822344322374,265.6822344322334,260.76007326007147,263.3928571428574,263.73626373626314,266.7124542124548,265.8081501831501,-34.191849816849924,-11.397283272283309,3.1225041691069415,1.1747210034588627
