liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out,delay_aspirate,delay_dispense,delay_blow_out,density,time,m,%error,Transfer_Observation,Comment,iteration,time_asp_1000,acq_value
Viscosity_std_204,rLine1000,1000.0,127.13077513872057,127.13077513872057,False,10,10,0,0.8639,78.72553777694702,0.7586028645896115,-12.18857916545764,Complete Transfer,Blowout before,1,35.7318320274353,None
Viscosity_std_204,rLine1000,500.0,127.13077513872057,127.13077513872057,False,10,10,0,0.8639,71.04790019989014,0.4029358267929878,-6.717021230932334,Complete Transfer,Blowout before,1,35.7318320274353,None
Viscosity_std_204,rLine1000,300.0,127.13077513872057,127.13077513872057,False,10,10,0,0.8639,67.99854326248169,0.2382527647594163,-8.070855130062755,Complete Transfer,Blowout before,1,35.7318320274353,None
Viscosity_std_204,rLine1000,"mean[100, 500, 1000]",127.13077513872057,127.13077513872057,False,10,10,0,0.8639,78.72553777694702,0.7586028645896115,-8.992151842150909,Complete Transfer,Blowout before,1,35.7318320274353,None
Viscosity_std_204,rLine1000,1000.0,158.91346875,158.91346875,False,10,10,0,0.8639,75.88720035552979,0.682424927205829,-21.00649065796631,Complete Transfer,Blowout before,2,32.585465635681054,None
Viscosity_std_204,rLine1000,500.0,158.91346875,158.91346875,False,10,10,0,0.8639,69.86983370780945,0.3946739885189623,-8.629705169820037,Complete Transfer,Blowout before,2,32.585465635681054,None
Viscosity_std_204,rLine1000,300.0,158.91346875,158.91346875,False,10,10,0,0.8639,67.24219799041748,0.2226033568117916,-14.109134231665855,Complete Transfer,Blowout before,2,32.585465635681054,None
Viscosity_std_204,rLine1000,"mean[100, 500, 1000]",158.91346875,158.91346875,False,10,10,0,0.8639,75.88720035552979,0.682424927205829,-14.581776686484067,Complete Transfer,Blowout before,2,32.585465635681054,None
Viscosity_std_204,rLine1000,1000.0,12.7130775,158.91346875,False,10,10,0,0.8639,148.58874440193176,0.6833429092362763,-20.90023043913921,Complete Transfer,Blowout before,3,104.95189304084711,None
Viscosity_std_204,rLine1000,500.0,12.7130775,158.91346875,False,10,10,0,0.8639,105.73282241821288,0.375512935026293,-13.065647638316236,Complete Transfer,Blowout before,3,104.95189304084711,None
Viscosity_std_204,rLine1000,300.0,12.7130775,158.91346875,False,10,10,0,0.8639,88.84198260307312,0.2088190552117422,-19.427767406820927,Complete Transfer,Blowout before,3,104.95189304084711,None
Viscosity_std_204,rLine1000,"mean[100, 500, 1000]",12.7130775,158.91346875,False,10,10,0,0.8639,148.58874440193176,0.6833429092362763,-17.797881828092123,Complete Transfer,Blowout before,3,104.95189304084711,None
Viscosity_std_204,rLine1000,1000.0,158.91346875,12.7130775,False,10,10,0,0.8639,148.28491020202637,0.844441470008101,-2.25240537005429,Complete Transfer,Blowout before,4,104.95189304084711,None
Viscosity_std_204,rLine1000,500.0,158.91346875,12.7130775,False,10,10,0,0.8639,105.99462151527403,0.4221551648590185,-2.267585401315316,Complete Transfer,Blowout before,4,104.95189304084711,None
Viscosity_std_204,rLine1000,300.0,158.91346875,12.7130775,False,10,10,0,0.8639,90.47748756408691,0.2542373090038713,-1.903264651050909,Complete Transfer,Blowout before,4,104.95189304084711,None
Viscosity_std_204,rLine1000,"mean[100, 500, 1000]",158.91346875,12.7130775,False,10,10,0,0.8639,148.28491020202637,0.844441470008101,-2.1410851408068385,Complete Transfer,Blowout before,4,104.95189304084711,None
Viscosity_std_204,rLine1000,1000.0,12.7130775,12.7130775,False,10,10,0,0.8639,220.69521856307983,0.8439023377045051,-2.314812165238446,Complete Transfer,Blowout before,5,177.31832044601316,None
Viscosity_std_204,rLine1000,500.0,12.7130775,12.7130775,False,10,10,0,0.8639,142.46250009536743,0.4285956102154898,-0.7765689974557557,Complete Transfer,Blowout before,5,177.31832044601316,None
Viscosity_std_204,rLine1000,300.0,12.7130775,12.7130775,False,10,10,0,0.8639,112.98713779449464,0.2502156734419122,-3.455001179954376,Complete Transfer,Blowout before,5,177.31832044601316,None
Viscosity_std_204,rLine1000,"mean[100, 500, 1000]",12.7130775,12.7130775,False,10,10,0,0.8639,220.69521856307983,0.8439023377045051,-2.182127447549526,Complete Transfer,Blowout before,5,177.31832044601316,None
Viscosity_std_204,rLine1000,1000,93.02889267994291,25.140953062294066,False,10,10,0,0.8639,113.67466902732849,0.8482591095632945,-1.81049779334477,,,,70.52508813759567,1.3201923801995585
Viscosity_std_204,rLine1000,500,93.02889267994291,25.140953062294066,False,10,10,0,0.8639,88.51437020301819,0.42699278444804223,-1.1476364282805354,,,,70.52508813759567,1.3201923801995585
Viscosity_std_204,rLine1000,300,93.02889267994291,25.140953062294066,False,10,10,0,0.8639,78.48191857337952,0.25279476581316834,-2.4598657972881384,,,,70.52508813759567,1.3201923801995585
Viscosity_std_204,rLine1000,"mean[100, 500, 1000]",93.02889267994291,25.140953062294066,False,10,10,0,0.8639,113.67466902732849,0.8482591095632945,-1.8060000063044812,,,,70.52508813759567,1.3201923801995585
Viscosity_std_204,rLine1000,1000,135.9262168994335,54.68495390194349,False,10,10,0,0.8639,88.94917488098145,0.7860694697863274,-9.009205951345363,,,,45.64349813747044,0.7930589015977239
Viscosity_std_204,rLine1000,500,135.9262168994335,54.68495390194349,False,10,10,0,0.8639,76.34333729743958,0.417186404979931,-3.4178944368720967,,,,45.64349813747044,0.7930589015977239
Viscosity_std_204,rLine1000,300,135.9262168994335,54.68495390194349,False,10,10,0,0.8639,71.29123163223267,0.245509194142952,-5.270982697475794,,,,45.64349813747044,0.7930589015977239
