,liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out,delay_aspirate,delay_dispense,delay_blow_out,density,time,m,%error,time_asp_1000,acq_value
0,Viscous_std_817,rLine1000,1000,74.26,74.26,False,10,10,0,0.8466,85.20809054374695,0.6644149940370541,-21.51960854747767,46.9323996768112,
1,Viscous_std_817,rLine1000,500,74.26,74.26,False,10,10,0,0.8466,71.7459602355957,0.38253622611638183,-9.629996192680885,46.9323996768112,
2,Viscous_std_817,rLine1000,300,74.26,74.26,False,10,10,0,0.8466,66.4199481010437,0.22197679764815303,-12.600678144675568,46.9323996768112,
3,Viscous_std_817,rLine1000,"mean[300, 500, 1000]",74.26,74.26,False,10,10,0,0.8466,85.20809054374695,0.6644149940370541,-14.58342762827804,46.9323996768112,
4,Viscous_std_817,rLine1000,1000,92.825,92.825,False,10,10,0,0.8466,79.90049028396606,0.5953769168900835,-29.67435425347466,41.54591974144896,
5,Viscous_std_817,rLine1000,500,92.825,92.825,False,10,10,0,0.8466,69.19839668273926,0.3963642411464526,-6.363278727509433,41.54591974144896,
6,Viscous_std_817,rLine1000,300,92.825,92.825,False,10,10,0,0.8466,64.87055778503418,0.2322931671331794,-8.53879552201773,41.54591974144896,
7,Viscous_std_817,rLine1000,"mean[300, 500, 1000]",92.825,92.825,False,10,10,0,0.8466,79.90049028396606,0.5953769168900835,-14.858809501000607,41.54591974144896,
8,Viscous_std_817,rLine1000,1000,92.825,7.426000000000001,False,10,10,0,0.8466,204.23130226135254,0.7894208327546268,-6.753976759434585,165.4349582547805,
9,Viscous_std_817,rLine1000,500,92.825,7.426000000000001,False,10,10,0,0.8466,131.37916827201843,0.38744670142210774,-8.469950053837058,165.4349582547805,
10,Viscous_std_817,rLine1000,300,92.825,7.426000000000001,False,10,10,0,0.8466,102.34817957878113,0.23351714317377573,-8.056877244753254,165.4349582547805,
11,Viscous_std_817,rLine1000,"mean[300, 500, 1000]",92.825,7.426000000000001,False,10,10,0,0.8466,204.23130226135254,0.7894208327546268,-7.760268019341633,165.4349582547805,
12,Viscous_std_817,rLine1000,1000,7.426000000000001,92.825,False,10,10,0,0.8466,204.64433407783508,0.604556737194556,-28.590038129629576,165.4349582547805,
13,Viscous_std_817,rLine1000,500,7.426000000000001,92.825,False,10,10,0,0.8466,131.50897884368896,0.4210186156784649,-0.5389521194271507,165.4349582547805,
14,Viscous_std_817,rLine1000,300,7.426000000000001,92.825,False,10,10,0,0.8466,102.6754834651947,0.24766572335733608,-2.4861314444696268,165.4349582547805,
15,Viscous_std_817,rLine1000,"mean[300, 500, 1000]",7.426000000000001,92.825,False,10,10,0,0.8466,204.64433407783508,0.604556737194556,-10.538373897842119,165.4349582547805,
16,Viscous_std_817,rLine1000,1000,7.426000000000001,7.426000000000001,False,10,10,0,0.8466,328.7111785411835,0.8374036077746722,-1.0862735914632489,289.323996768112,
17,Viscous_std_817,rLine1000,500,7.426000000000001,7.426000000000001,False,10,10,0,0.8466,193.87860703468323,0.4177838218568888,-1.3031368162322767,289.323996768112,
18,Viscous_std_817,rLine1000,300,7.426000000000001,7.426000000000001,False,10,10,0,0.8466,140.18418049812317,0.2367373658520114,-6.788973205759756,289.323996768112,
19,Viscous_std_817,rLine1000,"mean[300, 500, 1000]",7.426000000000001,7.426000000000001,False,10,10,0,0.8466,328.7111785411835,0.8374036077746722,-3.059461204485094,289.323996768112,
20,Viscous_std_817,rLine1000,1000,51.02146485348605,9.176549510239624,False,10,10,0,0.8466,188.05165195465088,0.8093395857009985,-4.401182884361152,148.57301582148003,51.94495142296867
21,Viscous_std_817,rLine1000,500,51.02146485348605,9.176549510239624,False,10,10,0,0.8466,123.81107544898987,0.4026152616394983,-4.88654343503466,148.57301582148003,51.94495142296867
22,Viscous_std_817,rLine1000,300,51.02146485348605,9.176549510239624,False,10,10,0,0.8466,98.13282322883606,0.23669365242199011,-6.8061845728049155,148.57301582148003,51.94495142296867
23,Viscous_std_817,rLine1000,"mean[300, 500, 1000]",51.02146485348605,9.176549510239624,False,10,10,0,0.8466,188.05165195465088,0.8093395857009985,-5.36463696406691,148.57301582148003,51.94495142296867
24,Viscous_std_817,rLine1000,1000,33.835121148543436,24.78270421631355,False,10,10,0,0.8466,129.7997443675995,0.7471062324940101,-11.752157749349152,89.90581016885857,32.90408088060266
25,Viscous_std_817,rLine1000,500,33.835121148543436,24.78270421631355,False,10,10,0,0.8466,94.83788442611694,0.3868784268318308,-8.604198716789318,89.90581016885857,32.90408088060266
26,Viscous_std_817,rLine1000,300,33.835121148543436,24.78270421631355,False,10,10,0,0.8466,80.52295851707458,0.23545510523805332,-7.293839972417795,89.90581016885857,32.90408088060266
27,Viscous_std_817,rLine1000,"mean[300, 500, 1000]",33.835121148543436,24.78270421631355,False,10,10,0,0.8466,129.7997443675995,0.7471062324940101,-9.216732146185423,89.90581016885857,32.90408088060266
28,Viscous_std_817,rLine1000,1000,19.791485130279327,11.045848397364841,False,10,10,0,0.8466,201.31873607635498,0.8181696985653008,-3.3581740414244354,161.0585305388263,23.848421951976867
29,Viscous_std_817,rLine1000,500,19.791485130279327,11.045848397364841,False,10,10,0,0.8466,130.3763611316681,0.41144537450380053,-2.8005257491612277,161.0585305388263,23.848421951976867
30,Viscous_std_817,rLine1000,300,19.791485130279327,11.045848397364841,False,10,10,0,0.8466,102.20886659622192,0.23895217963975718,-5.91693060880497,161.0585305388263,23.848421951976867
