,Time,Value,Factor,Baseline,Mass
0,2023-02-07 12:39:22.360314,-921249,6.862879436681862,-1018802.8963585434,14214.7180725806
1,2023-02-07 12:39:22.363389,-921023,6.862879436681862,-1018802.8963585434,14247.648856529977
2,2023-02-07 12:39:22.364975,-920158,6.862879436681862,-1018802.8963585434,14373.689246424721
3,2023-02-07 12:39:22.366055,-919385,6.862879436681862,-1018802.8963585434,14486.324184446266
4,2023-02-07 12:39:22.368066,-918829,6.862879436681862,-1018802.8963585434,14567.339741419073
5,2023-02-07 12:39:22.369051,-918227,6.862879436681862,-1018802.8963585434,14655.058024328478
6,2023-02-07 12:39:22.370053,-917565,6.862879436681862,-1018802.8963585434,14751.518993242144
7,2023-02-07 12:39:22.371051,-916972,6.862879436681862,-1018802.8963585434,14837.92587325091
8,2023-02-07 12:39:22.372051,-916408,6.862879436681862,-1018802.8963585434,14920.107121690951
9,2023-02-07 12:39:22.374052,-915749,6.862879436681862,-1018802.8963585434,15016.130956304403
10,2023-02-07 12:39:22.375053,-915144,6.862879436681862,-1018802.8963585434,15104.286373514022
11,2023-02-07 12:39:22.376051,-914571,6.862879436681862,-1018802.8963585434,15187.7790248547
12,2023-02-07 12:39:22.377052,-914482,6.862879436681862,-1018802.8963585434,15200.747342427687
13,2023-02-07 12:39:22.378989,-914391,6.862879436681862,-1018802.8963585434,15214.00708286748
14,2023-02-07 12:39:22.380056,-914331,6.862879436681862,-1018802.8963585434,15222.74976887174
15,2023-02-07 12:39:22.382052,-914326,6.862879436681862,-1018802.8963585434,15223.478326038761
16,2023-02-07 12:39:22.383052,-914354,6.862879436681862,-1018802.8963585434,15219.39840590344
17,2023-02-07 12:39:22.384052,-914370,6.862879436681862,-1018802.8963585434,15217.067022968971
18,2023-02-07 12:39:22.385052,-914310,6.862879436681862,-1018802.8963585434,15225.809708973231
19,2023-02-07 12:39:22.386052,-914350,6.862879436681862,-1018802.8963585434,15219.981251637057
20,2023-02-07 12:39:22.387052,-914370,6.862879436681862,-1018802.8963585434,15217.067022968971
21,2023-02-07 12:39:22.388061,-914415,6.862879436681862,-1018802.8963585434,15210.510008465775
22,2023-02-07 12:39:22.389052,-914398,6.862879436681862,-1018802.8963585434,15212.98710283365
23,2023-02-07 12:39:22.391052,-914393,6.862879436681862,-1018802.8963585434,15213.715660000671
24,2023-02-07 12:39:22.392051,-914364,6.862879436681862,-1018802.8963585434,15217.941291569397
25,2023-02-07 12:39:22.393052,-914315,6.862879436681862,-1018802.8963585434,15225.08115180621
26,2023-02-07 12:39:22.394050,-914282,6.862879436681862,-1018802.8963585434,15229.889629108551
27,2023-02-07 12:39:22.396504,-914290,6.862879436681862,-1018802.8963585434,15228.723937641316
28,2023-02-07 12:39:22.398104,-914349,6.862879436681862,-1018802.8963585434,15220.126963070461
29,2023-02-07 12:39:22.399103,-914358,6.862879436681862,-1018802.8963585434,15218.815560169824
30,2023-02-07 12:39:22.400104,-914319,6.862879436681862,-1018802.8963585434,15224.498306072592
31,2023-02-07 12:39:22.401103,-914302,6.862879436681862,-1018802.8963585434,15226.975400440466
32,2023-02-07 12:39:22.402105,-914300,6.862879436681862,-1018802.8963585434,15227.266823307275
33,2023-02-07 12:39:22.404103,-914342,6.862879436681862,-1018802.8963585434,15221.146943104291
34,2023-02-07 12:39:22.405104,-914383,6.862879436681862,-1018802.8963585434,15215.172774334715
35,2023-02-07 12:39:22.471608,-914334,6.862879436681862,-1018802.8963585434,15222.312634571526
36,2023-02-07 12:39:22.672004,-914355,6.862879436681862,-1018802.8963585434,15219.252694470035
37,2023-02-07 12:39:22.872384,-914347,6.862879436681862,-1018802.8963585434,15220.41838593727
38,2023-02-07 12:39:23.072611,-914350,6.862879436681862,-1018802.8963585434,15219.981251637057
39,2023-02-07 12:39:23.273186,-914334,6.862879436681862,-1018802.8963585434,15222.312634571526
40,2023-02-07 12:39:23.473512,-914341,6.862879436681862,-1018802.8963585434,15221.292654537696
41,2023-02-07 12:39:23.673599,-914378,6.862879436681862,-1018802.8963585434,15215.901331501736
42,2023-02-07 12:39:23.874137,-914391,6.862879436681862,-1018802.8963585434,15214.00708286748
43,2023-02-07 12:39:24.074584,-914382,6.862879436681862,-1018802.8963585434,15215.318485768119
44,2023-02-07 12:39:24.275050,-914394,6.862879436681862,-1018802.8963585434,15213.569948567267
45,2023-02-07 12:39:24.475012,-914406,6.862879436681862,-1018802.8963585434,15211.821411366414
46,2023-02-07 12:39:24.675665,-914434,6.862879436681862,-1018802.8963585434,15207.741491231094
47,2023-02-07 12:39:24.876075,-915106,6.862879436681862,-1018802.8963585434,15109.823407983386
48,2023-02-07 12:39:25.076509,-915644,6.862879436681862,-1018802.8963585434,15031.430656811857
49,2023-02-07 12:39:25.276246,-916674,6.862879436681862,-1018802.8963585434,14881.3478804054
50,2023-02-07 12:39:25.476174,-917460,6.862879436681862,-1018802.8963585434,14766.818693749598
51,2023-02-07 12:39:25.679765,-917757,6.862879436681862,-1018802.8963585434,14723.542398028512
52,2023-02-07 12:39:25.877759,-917888,6.862879436681862,-1018802.8963585434,14704.454200252545
53,2023-02-07 12:39:26.077537,-918470,6.862879436681862,-1018802.8963585434,14619.650146011227
54,2023-02-07 12:39:26.277594,-919523,6.862879436681862,-1018802.8963585434,14466.216006636469
55,2023-02-07 12:39:26.478100,-920566,6.862879436681862,-1018802.8963585434,14314.238981595756
56,2023-02-07 12:39:26.678698,-921079,6.862879436681862,-1018802.8963585434,14239.489016259335
57,2023-02-07 12:39:26.879496,-921179,6.862879436681862,-1018802.8963585434,14224.917872918903
58,2023-02-07 12:39:27.080002,-921225,6.862879436681862,-1018802.8963585434,14218.215146982304
59,2023-02-07 12:39:27.279598,-921180,6.862879436681862,-1018802.8963585434,14224.772161485498
60,2023-02-07 12:39:27.481689,-921238,6.862879436681862,-1018802.8963585434,14216.320898348047
61,2023-02-07 12:39:27.681550,-921215,6.862879436681862,-1018802.8963585434,14219.672261316347
62,2023-02-07 12:39:27.881279,-921277,6.862879436681862,-1018802.8963585434,14210.638152445279
63,2023-02-07 12:39:28.081346,-921206,6.862879436681862,-1018802.8963585434,14220.983664216985
64,2023-02-07 12:39:28.282142,-921277,6.862879436681862,-1018802.8963585434,14210.638152445279
65,2023-02-07 12:39:28.482831,-921198,6.862879436681862,-1018802.8963585434,14222.14935568422
66,2023-02-07 12:39:28.683048,-921189,6.862879436681862,-1018802.8963585434,14223.460758584859
67,2023-02-07 12:39:28.883727,-921211,6.862879436681862,-1018802.8963585434,14220.255107049965
68,2023-02-07 12:39:29.084062,-921216,6.862879436681862,-1018802.8963585434,14219.526549882943
69,2023-02-07 12:39:29.284508,-921242,6.862879436681862,-1018802.8963585434,14215.73805261443
70,2023-02-07 12:39:29.484676,-921225,6.862879436681862,-1018802.8963585434,14218.215146982304
71,2023-02-07 12:39:29.685210,-921205,6.862879436681862,-1018802.8963585434,14221.12937565039
72,2023-02-07 12:39:29.885692,-921230,6.862879436681862,-1018802.8963585434,14217.486589815282
73,2023-02-07 12:39:30.085758,-921207,6.862879436681862,-1018802.8963585434,14220.83795278358
74,2023-02-07 12:39:30.286392,-921192,6.862879436681862,-1018802.8963585434,14223.023624284646
75,2023-02-07 12:39:30.486436,-921266,6.862879436681862,-1018802.8963585434,14212.240978212725
76,2023-02-07 12:39:30.686478,-921212,6.862879436681862,-1018802.8963585434,14220.10939561656
77,2023-02-07 12:39:30.887542,-921201,6.862879436681862,-1018802.8963585434,14221.712221384007
78,2023-02-07 12:39:31.087337,-921216,6.862879436681862,-1018802.8963585434,14219.526549882943
79,2023-02-07 12:39:31.287889,-921227,6.862879436681862,-1018802.8963585434,14217.923724115495
80,2023-02-07 12:39:31.488662,-921227,6.862879436681862,-1018802.8963585434,14217.923724115495
81,2023-02-07 12:39:31.688862,-921257,6.862879436681862,-1018802.8963585434,14213.552381113364
82,2023-02-07 12:39:31.889519,-921227,6.862879436681862,-1018802.8963585434,14217.923724115495
83,2023-02-07 12:39:32.089774,-921210,6.862879436681862,-1018802.8963585434,14220.40081848337
84,2023-02-07 12:39:32.289500,-921236,6.862879436681862,-1018802.8963585434,14216.612321214856
85,2023-02-07 12:39:32.489264,-921194,6.862879436681862,-1018802.8963585434,14222.732201417837
86,2023-02-07 12:39:32.690525,-921266,6.862879436681862,-1018802.8963585434,14212.240978212725
87,2023-02-07 12:39:32.891433,-921264,6.862879436681862,-1018802.8963585434,14212.532401079534
88,2023-02-07 12:39:33.091802,-921249,6.862879436681862,-1018802.8963585434,14214.7180725806
89,2023-02-07 12:39:33.292202,-921216,6.862879436681862,-1018802.8963585434,14219.526549882943
90,2023-02-07 12:39:33.492501,-921271,6.862879436681862,-1018802.8963585434,14211.512421045705
91,2023-02-07 12:39:33.692721,-921245,6.862879436681862,-1018802.8963585434,14215.300918314217
92,2023-02-07 12:39:33.892849,-921262,6.862879436681862,-1018802.8963585434,14212.823823946343
93,2023-02-07 12:39:34.093468,-921238,6.862879436681862,-1018802.8963585434,14216.320898348047
94,2023-02-07 12:39:34.293716,-921257,6.862879436681862,-1018802.8963585434,14213.552381113364
95,2023-02-07 12:39:34.493762,-921280,6.862879436681862,-1018802.8963585434,14210.201018145066
96,2023-02-07 12:39:34.694154,-921249,6.862879436681862,-1018802.8963585434,14214.7180725806
97,2023-02-07 12:39:34.894689,-921214,6.862879436681862,-1018802.8963585434,14219.817972749752
98,2023-02-07 12:39:35.094727,-921238,6.862879436681862,-1018802.8963585434,14216.320898348047
99,2023-02-07 12:39:35.295376,-921199,6.862879436681862,-1018802.8963585434,14222.003644250815
100,2023-02-07 12:39:35.495575,-921208,6.862879436681862,-1018802.8963585434,14220.692241350178
101,2023-02-07 12:39:35.696928,-921232,6.862879436681862,-1018802.8963585434,14217.195166948473
102,2023-02-07 12:39:35.896997,-921190,6.862879436681862,-1018802.8963585434,14223.315047151455
103,2023-02-07 12:39:36.097910,-921152,6.862879436681862,-1018802.8963585434,14228.85208162082
104,2023-02-07 12:39:36.297973,-921212,6.862879436681862,-1018802.8963585434,14220.10939561656
105,2023-02-07 12:39:36.497565,-921234,6.862879436681862,-1018802.8963585434,14216.903744081665
