,Time,Value,Factor,Baseline,Mass
0,2023-02-09 16:04:42.643914,-920391,6.862879436681862,-920805.2621359223,60.36272963038071
1,2023-02-09 16:04:42.807882,-920404,6.862879436681862,-920805.2621359223,58.46848099612445
2,2023-02-09 16:04:43.008582,-920413,6.862879436681862,-920805.2621359223,57.1570780954855
3,2023-02-09 16:04:43.209205,-920448,6.862879436681862,-920805.2621359223,52.05717792633403
4,2023-02-09 16:04:43.409159,-920416,6.862879436681862,-920805.2621359223,56.71994379527251
5,2023-02-09 16:04:43.601859,-920368,6.862879436681862,-920805.2621359223,63.71409259868025
6,2023-02-09 16:04:43.810219,-920343,6.862879436681862,-920805.2621359223,67.35687843378845
7,2023-02-09 16:04:44.010064,-920318,6.862879436681862,-920805.2621359223,70.99966426889664
8,2023-02-09 16:04:44.210517,-920391,6.862879436681862,-920805.2621359223,60.36272963038071
9,2023-02-09 16:04:44.410729,-920364,6.862879436681862,-920805.2621359223,64.29693833229756
10,2023-02-09 16:04:44.611550,-920379,6.862879436681862,-920805.2621359223,62.11126683123265
11,2023-02-09 16:04:44.797179,-920447,6.862879436681862,-920805.2621359223,52.20288935973836
12,2023-02-09 16:04:45.012401,-920435,6.862879436681862,-920805.2621359223,53.951426560590285
13,2023-02-09 16:04:45.212508,-920637,6.862879436681862,-920805.2621359223,24.517717012916066
14,2023-02-09 16:04:45.411389,-921161,6.862879436681862,-920805.2621359223,-51.83507409095172
15,2023-02-09 16:04:45.612722,-921543,6.862879436681862,-920805.2621359223,-107.49684165140495
16,2023-02-09 16:04:45.814155,-921804,6.862879436681862,-920805.2621359223,-145.52752576993453
17,2023-02-09 16:04:46.014116,-921813,6.862879436681862,-920805.2621359223,-146.83892867057347
18,2023-02-09 16:04:46.213812,-921780,6.862879436681862,-920805.2621359223,-142.03045136823064
19,2023-02-09 16:04:46.414750,-921785,6.862879436681862,-920805.2621359223,-142.7590085352523
20,2023-02-09 16:04:46.615012,-921850,6.862879436681862,-920805.2621359223,-152.2302517065336
21,2023-02-09 16:04:46.815473,-921764,6.862879436681862,-920805.2621359223,-139.6990684337614
22,2023-02-09 16:04:47.015908,-922040,6.862879436681862,-920805.2621359223,-179.91542405335588
23,2023-02-09 16:04:47.215924,-922463,6.862879436681862,-920805.2621359223,-241.55136038338657
24,2023-02-09 16:04:47.416949,-922923,6.862879436681862,-920805.2621359223,-308.57861974937737
25,2023-02-09 16:04:47.615744,-923088,6.862879436681862,-920805.2621359223,-332.62100626109145
26,2023-02-09 16:04:47.817048,-923168,6.862879436681862,-920805.2621359223,-344.27792093343766
27,2023-02-09 16:04:48.018146,-923184,6.862879436681862,-920805.2621359223,-346.60930386790693
28,2023-02-09 16:04:48.217188,-923119,6.862879436681862,-920805.2621359223,-337.1380606966256
29,2023-02-09 16:04:48.417638,-923137,6.862879436681862,-920805.2621359223,-339.7608664979035
30,2023-02-09 16:04:48.618853,-923177,6.862879436681862,-920805.2621359223,-345.58932383407665
31,2023-02-09 16:04:48.819406,-923433,6.862879436681862,-920805.2621359223,-382.89145078558454
32,2023-02-09 16:04:49.019262,-923821,6.862879436681862,-920805.2621359223,-439.4274869464638
33,2023-02-09 16:04:49.206223,-924198,6.862879436681862,-920805.2621359223,-494.36069733989535
34,2023-02-09 16:04:49.407942,-924454,6.862879436681862,-920805.2621359223,-531.6628242914032
35,2023-02-09 16:04:49.620821,-924544,6.862879436681862,-920805.2621359223,-544.7768532977927
36,2023-02-09 16:04:49.821289,-924535,6.862879436681862,-920805.2621359223,-543.4654503971539
37,2023-02-09 16:04:50.022170,-924529,6.862879436681862,-920805.2621359223,-542.5911817967278
