,Time,Value,Factor,Baseline,Mass,Mass_smooth,Mass_derivative_smooth,ts,Mass_analysis_smooth,Mass_analysis_derivative_smooth
394,2023-03-10 16:19:57.237377,265117,6.862879436681862,245246.1688311688,2895.4072925457863,2832.620075769408,-5.695555699111537,23.676637887954712,-4.444563864198871e-264,2.516823015813318e-267
395,2023-03-10 16:19:57.437580,265056,6.862879436681862,245246.1688311688,2886.5188951081223,2826.9261212948363,-5.693954474571001,23.876841068267822,-4.445566835551963e-264,-1.002971353091479e-267
396,2023-03-10 16:19:57.638033,264977,6.862879436681862,245246.1688311688,2875.00769186918,2821.1617129403817,-5.764408354454645,24.077293872833252,-4.4290817086143835e-264,1.6485126937579324e-266
397,2023-03-10 16:19:57.837201,264912,6.862879436681862,245246.1688311688,2865.5364486978992,2815.302832337893,-5.858880602488625,24.276461839675903,-4.421919397643883e-264,7.162310970500898e-267
398,2023-03-10 16:19:58.037906,264816,6.862879436681862,245246.1688311688,2851.548151091084,2809.333467241944,-5.969365095949343,24.477166891098022,-4.4188452115649335e-264,3.074186078949102e-267
399,2023-03-10 16:19:58.237070,264694,6.862879436681862,245246.1688311688,2833.7713562157555,2803.397727861397,-5.935739380546238,24.676331043243408,-4.412121382888567e-264,6.723828676366437e-267
400,2023-03-10 16:19:58.437545,264650,6.862879436681862,245246.1688311688,2827.360053145965,2797.428362765448,-5.969365095949797,24.876806020736694,-4.403528360925496e-264,8.593021963071236e-267
401,2023-03-10 16:19:58.654357,264555,6.862879436681862,245246.1688311688,2813.5174669725543,2791.321292358809,-6.107070406638741,25.093617916107178,-4.410184598985996e-264,-6.6562380605003894e-267
402,2023-03-10 16:19:58.846066,264511,6.862879436681862,245246.1688311688,2807.1061639027635,2785.2782709338862,-6.043021424922699,25.285326957702637,-4.410404360882579e-264,-2.197618965831336e-268
403,2023-03-10 16:19:59.053657,264459,6.862879436681862,245246.1688311688,2799.5291693657387,2779.1936176708487,-6.0846532630375805,25.492918014526367,-4.3913594169253465e-264,1.904494395723283e-266
404,2023-03-10 16:19:59.257348,264353,6.862879436681862,245246.1688311688,2784.08375742488,2772.928026034463,-6.26559163638558,25.696609020233154,-4.395769172032466e-264,-4.409755107119639e-267
405,2023-03-10 16:19:59.458716,264290,6.862879436681862,245246.1688311688,2774.903937120407,2766.531133985558,-6.3968920489051015,25.897976875305176,-4.396845363979105e-264,-1.0761919466386239e-267
406,2023-03-10 16:19:59.648984,264234,6.862879436681862,245246.1688311688,2766.744096849765,2760.246327654657,-6.28480633090112,26.088244915008545,-4.389725799379259e-264,7.119564599845739e-267
407,2023-03-10 16:19:59.857044,264168,6.862879436681862,245246.1688311688,2757.127142245079,2753.844631932124,-6.401695722533532,26.296304941177368,-4.377104692696976e-264,1.2621106682282657e-266
408,2023-03-10 16:20:00.068555,264043,6.862879436681862,245246.1688311688,2738.9132130695384,2747.245985590815,-6.598646341308267,26.507816076278687,-4.37833118262377e-264,-1.2264899267932981e-267
409,2023-03-10 16:20:00.259148,264005,6.862879436681862,245246.1688311688,2733.3761786001737,2740.511235163357,-6.7347504274584935,26.69840908050537,-4.372496367447336e-264,5.834815176433732e-267
410,2023-03-10 16:20:00.455222,263964,6.862879436681862,245246.1688311688,2727.4020098305964,2733.8005031040425,-6.7107320593140685,26.89448308944702,-4.36550580908237e-264,6.990558364965691e-267
411,2023-03-10 16:20:00.657213,263903,6.862879436681862,245246.1688311688,2718.5136123929324,2727.1810408436763,-6.619462260366163,27.096473932266235,-4.36097047016843e-264,4.53533891394004e-267
412,2023-03-10 16:20:00.854151,263798,6.862879436681862,245246.1688311688,2703.213911885478,2720.4494928653044,-6.731547978371964,27.29341197013855,-4.354221635921264e-264,6.7488342471658346e-267
413,2023-03-10 16:20:01.054688,263803,6.862879436681862,245246.1688311688,2703.9424690525,2713.6987301924173,-6.750762672887049,27.493948936462402,-4.358651912073425e-264,-4.430276152160905e-267
414,2023-03-10 16:20:01.254151,263669,6.862879436681862,245246.1688311688,2684.41713697632,2706.8390842506133,-6.859645941804047,27.693411827087402,-4.348089736369264e-264,1.056217570416101e-266
415,2023-03-10 16:20:01.455355,263587,6.862879436681862,245246.1688311688,2672.4687994371648,2699.8945734080366,-6.944510842576619,27.89461588859558,-4.348788319282577e-264,-6.985829133130224e-268
416,2023-03-10 16:20:01.654925,263624,6.862879436681862,245246.1688311688,2677.860122473125,2692.8331731738263,-7.061400234210396,28.094186067581177,-4.346622137972705e-264,2.1661813098723953e-267
417,2023-03-10 16:20:01.854659,263525,6.862879436681862,245246.1688311688,2663.4346905660964,2685.7541594696454,-7.079013704180852,28.293920040130615,-4.332665886556838e-264,1.3956251415866788e-266
418,2023-03-10 16:20:02.054109,263487,6.862879436681862,245246.1688311688,2657.897656096732,2678.607894334661,-7.146265134984333,28.493369817733765,-4.3330157276469905e-264,-3.498410901524119e-268
419,2023-03-10 16:20:02.254547,263419,6.862879436681862,245246.1688311688,2647.9892786252376,2671.3207214399013,-7.287172894759806,28.69380784034729,-4.323333032018952e-264,9.682695628038623e-267
420,2023-03-10 16:20:02.462920,263302,6.862879436681862,245246.1688311688,2630.941040916932,2664.1136097722874,-7.207111667613844,28.902180910110474,-4.324433043188097e-264,-1.1000111691449756e-267
421,2023-03-10 16:20:02.670283,263282,6.862879436681862,245246.1688311688,2628.0268122488446,2656.804019733928,-7.309590038359602,29.109544038772583,-4.311579135536507e-264,1.2853907651590045e-266
422,2023-03-10 16:20:02.870678,263203,6.862879436681862,245246.1688311688,2616.515609009903,2649.569687249084,-7.23433248484389,29.30993890762329,-4.31112696271539e-264,4.521728211168593e-268
423,2023-03-10 16:20:03.054220,263160,6.862879436681862,245246.1688311688,2610.2500173735166,2642.151213941808,-7.418473307276599,29.493480920791626,-4.305306179262592e-264,5.820783452797643e-267
424,2023-03-10 16:20:03.263087,263118,6.862879436681862,245246.1688311688,2604.130137170535,2634.8288141071034,-7.322399834703901,29.702347993850708,-4.300476912706469e-264,4.829266556123339e-267
425,2023-03-10 16:20:03.465746,263100,6.862879436681862,245246.1688311688,2601.507331369257,2627.392727329854,-7.436086777249329,29.905006885528564,-4.291834552411176e-264,8.642360295292961e-267
426,2023-03-10 16:20:03.663542,262997,6.862879436681862,245246.1688311688,2586.499053728611,2619.8845854481738,-7.508141881680331,30.102802991867065,-4.283138399860824e-264,8.696152550352007e-267
427,2023-03-10 16:20:03.861454,262972,6.862879436681862,245246.1688311688,2582.856267893503,2612.389253362837,-7.4953320853369405,30.30071496963501,-4.273957892375426e-264,9.180507485398036e-267
428,2023-03-10 16:20:04.070905,262898,6.862879436681862,245246.1688311688,2572.073621821583,2604.887516379328,-7.501736983508636,30.51016592979431,-4.269348700143656e-264,4.609192231770386e-267
429,2023-03-10 16:20:04.259092,262854,6.862879436681862,245246.1688311688,2565.662318751793,2597.4578345002515,-7.429681879076725,30.698352813720703,-4.263290228499054e-264,6.0584716446016335e-267
430,2023-03-10 16:20:04.459892,262743,6.862879436681862,245246.1688311688,2549.488349643912,2590.1082138483184,-7.349620651933037,30.899152994155884,-4.240784218666088e-264,2.2506009832965885e-266
431,2023-03-10 16:20:04.674613,262739,6.862879436681862,245246.1688311688,2548.9055039102946,2582.7281699300697,-7.3800439182487025,31.113873958587646,-4.2357562500934694e-264,5.027968572618617e-267
432,2023-03-10 16:20:04.866531,262703,6.862879436681862,245246.1688311688,2543.659892307739,2575.3609358081667,-7.367234121903039,31.305792093276978,-4.2286404618673055e-264,7.115788226163956e-267
433,2023-03-10 16:20:05.067178,262603,6.862879436681862,245246.1688311688,2529.088748967306,2568.1025849551797,-7.258350852987405,31.506438970565796,-4.2124240753383145e-264,1.6216386528990945e-266
434,2023-03-10 16:20:05.270684,262576,6.862879436681862,245246.1688311688,2525.154540265389,2560.9242953293374,-7.178289625841899,31.7099449634552,-4.212007602533685e-264,4.164728046293153e-268
435,2023-03-10 16:20:05.454490,262514,6.862879436681862,245246.1688311688,2516.120431394321,2553.77642896981,-7.1478663595275975,31.89375114440918,-4.202662027638785e-264,9.34557489489998e-267
