,Time,Value,Factor,Baseline,Mass,Mass_smooth,Mass_derivative_smooth
0,2023-02-09 16:39:53.181847,-920764,6.862879436681862,-921117.3517196625,51.487385567913954,58.034999333469734,
1,2023-02-09 16:39:53.339971,-920768,6.862879436681862,-921117.3517196625,50.90453983429664,55.92171351222503,-2.113285821244702
2,2023-02-09 16:39:53.539822,-920761,6.862879436681862,-921117.3517196625,51.924519868126936,53.808427690980324,-2.113285821244709
3,2023-02-09 16:39:53.740981,-920776,6.862879436681862,-921117.3517196625,49.73884836706202,51.69514186973562,-2.113285821244702
4,2023-02-09 16:39:53.940956,-920769,6.862879436681862,-921117.3517196625,50.75882840089231,49.58185604849092,-2.113285821244702
5,2023-02-09 16:39:54.141320,-920769,6.862879436681862,-921117.3517196625,50.75882840089231,47.46857022724622,-2.113285821244702
6,2023-02-09 16:39:54.341579,-920788,6.862879436681862,-921117.3517196625,47.990311166210084,45.35528440600151,-2.113285821244709
7,2023-02-09 16:39:54.542172,-920814,6.862879436681862,-921117.3517196625,44.20181389769756,43.24199858475681,-2.113285821244702
8,2023-02-09 16:39:54.742882,-920795,6.862879436681862,-921117.3517196625,46.97033113237979,41.1287127635121,-2.113285821244709
9,2023-02-09 16:39:54.943048,-920767,6.862879436681862,-921117.3517196625,51.050251267700965,39.015426942267396,-2.113285821244702
10,2023-02-09 16:39:55.143493,-920879,6.862879436681862,-921117.3517196625,34.73057072641625,36.902141121022694,-2.113285821244702
11,2023-02-09 16:39:55.343513,-920782,6.862879436681862,-921117.3517196625,48.86457976663605,34.78885529977799,-2.113285821244702
12,2023-02-09 16:39:55.544383,-920848,6.862879436681862,-921117.3517196625,39.24762516195041,32.67556947853328,-2.113285821244709
13,2023-02-09 16:39:55.744115,-920967,6.862879436681862,-921117.3517196625,21.9079645868354,30.56228365728858,-2.113285821244702
14,2023-02-09 16:39:55.944919,-921043,6.862879436681862,-921117.3517196625,10.833895648106486,28.448997836043876,-2.1132858212447054
15,2023-02-09 16:39:56.145587,-920995,6.862879436681862,-921117.3517196625,17.82804445151422,26.335712014799167,-2.113285821244709
16,2023-02-09 16:39:56.345295,-921012,6.862879436681862,-921117.3517196625,15.35095008364065,24.229946783665657,-2.1057652311335104
17,2023-02-09 16:39:56.545998,-920931,6.862879436681862,-921117.3517196625,27.153576189391202,22.09127897079569,-2.1386678128699685
18,2023-02-09 16:39:56.745812,-920999,6.862879436681862,-921117.3517196625,17.245198717896912,19.952611157925713,-2.1386678128699756
19,2023-02-09 16:39:56.938655,-920991,6.862879436681862,-921117.3517196625,18.41089018513153,18.081864367766926,-1.8707467901587869
20,2023-02-09 16:39:57.138745,-921010,6.862879436681862,-921117.3517196625,15.642372950449303,16.399132330387907,-1.6827320373790187
21,2023-02-09 16:39:57.338743,-921013,6.862879436681862,-921117.3517196625,15.205238650236321,14.293367099254398,-2.1057652311335087
22,2023-02-09 16:39:57.547663,-920994,6.862879436681862,-921117.3517196625,17.97375588491855,12.56833174249994,-1.725035356754459
23,2023-02-09 16:39:57.748330,-920950,6.862879436681862,-921117.3517196625,24.385058954708974,10.232248439211196,-2.336083303288744
24,2023-02-09 16:39:57.938681,-920973,6.862879436681862,-921117.3517196625,21.033695986409434,7.863262554185994,-2.368985885025202
25,2023-02-09 16:39:58.138676,-921049,6.862879436681862,-921117.3517196625,9.959627047680518,5.127647901240228,-2.735614652945766
26,2023-02-09 16:39:58.338469,-921203,6.862879436681862,-921117.3517196625,-12.479933696585967,2.85736976142441,-2.270278139815818
27,2023-02-09 16:39:58.542945,-921178,6.862879436681862,-921117.3517196625,-8.83714786147777,0.1969610095905534,-2.660408751833857
28,2023-02-09 16:39:58.738822,-921184,6.862879436681862,-921117.3517196625,-9.711416461903738,-2.035714179669309,-2.2326751892598624
29,2023-02-09 16:39:58.938903,-921125,6.862879436681862,-921117.3517196625,-1.1144418910483966,-3.98166687094001,-1.9459526912707013
30,2023-02-09 16:39:59.137799,-921138,6.862879436681862,-921117.3517196625,-3.0086905253046585,-5.528088212553682,-1.5464213416136716
31,2023-02-09 16:39:59.351366,-921212,6.862879436681862,-921117.3517196625,-13.791336597224918,-7.356531683337021,-1.8284434707833395
32,2023-02-09 16:39:59.538683,-921223,6.862879436681862,-921117.3517196625,-15.394162364672525,-8.841848230297268,-1.485316546960247
33,2023-02-09 16:39:59.738605,-921216,6.862879436681862,-921117.3517196625,-14.37418233084223,-10.839504978582408,-1.9976567482851397
34,2023-02-09 16:39:59.938540,-921174,6.862879436681862,-921117.3517196625,-8.254302127860461,-12.503435540683439,-1.6639305621010312
35,2023-02-09 16:40:00.138631,-921127,6.862879436681862,-921117.3517196625,-1.4058647578570522,-14.341279749105768,-1.8378442084223288
36,2023-02-09 16:40:00.338517,-921217,6.862879436681862,-921117.3517196625,-14.519893764246557,-16.837175592257317,-2.4958958431515494
37,2023-02-09 16:40:00.538525,-921155,6.862879436681862,-921117.3517196625,-5.485784893178232,-19.290768116033423,-2.4535925237761056
38,2023-02-09 16:40:00.746842,-921311,6.862879436681862,-921117.3517196625,-28.216768504253373,-21.739660270990033,-2.44889215495661
39,2023-02-09 16:40:00.954513,-921299,6.862879436681862,-921117.3517196625,-26.46823130340144,-24.310762015253488,-2.571101744263455
40,2023-02-09 16:40:01.154171,-921349,6.862879436681862,-921117.3517196625,-33.75380297361783,-26.97587113590684,-2.6651091206533515
41,2023-02-09 16:40:01.355119,-921362,6.862879436681862,-921117.3517196625,-35.648051607874095,-29.039333047664908,-2.0634619117580684
42,2023-02-09 16:40:01.555447,-921348,6.862879436681862,-921117.3517196625,-33.6080915402135,-30.51994922580565,-1.4806161781407425
43,2023-02-09 16:40:01.755549,-921323,6.862879436681862,-921117.3517196625,-29.965305705105308,-32.014666510404886,-1.4947172845992363
44,2023-02-09 16:40:01.956070,-921381,6.862879436681862,-921117.3517196625,-38.41656884255632,-33.311968304585356,-1.2973017941804699
45,2023-02-09 16:40:02.156138,-921372,6.862879436681862,-921117.3517196625,-37.10516594191737,-35.27672247113403,-1.9647541665486727
46,2023-02-09 16:40:02.356208,-921384,6.862879436681862,-921117.3517196625,-38.853703142769305,-37.029960040805456,-1.7532375696714269
47,2023-02-09 16:40:02.556771,-921328,6.862879436681862,-921117.3517196625,-30.693862872126946,-38.849002773949806,-1.8190427331443502
48,2023-02-09 16:40:02.754100,-921356,6.862879436681862,-921117.3517196625,-34.773783007448124,-40.809056571678994,-1.9600537977291879
