liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out,delay_aspirate,delay_dispense,delay_blow_out,density,time,m,%error,Transfer_Observation,Comment,iteration,time_asp_1000,acq_value
Viscosity_std_1275,rLine1000,1000,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,532.2566523551941,0.8506196347844447,-2.630536311304413,Incomplete Dispense,Blowout before,,488.8862109111585,34.098331642968986
Viscosity_std_1275,rLine1000,500,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,299.3959972858429,0.4187746596040383,-4.126680493580976,Incomplete Dispense,Blowout before,,488.8862109111585,34.098331642968986
Viscosity_std_1275,rLine1000,300,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,203.92902493476868,0.2455966210029945,-6.289445587990487,Incomplete Dispense,Blowout before,,488.8862109111585,34.098331642968986
Viscosity_std_1275,rLine1000,"mean[300, 500, 1000]",3.867114970935985,4.755213441593282,False,10,10,0,0.8736,532.2566523551941,0.8506196347844447,-4.348887464291959,Incomplete Dispense,Blowout before,,488.8862109111585,34.098331642968986
Viscosity_std_1275,rLine1000,1000,15.270345404474355,32.69511562232242,False,10,10,0,0.8736,159.22830748558044,0.7371541415924945,-15.618802473386625,Incomplete Aspiration and Dispense,Blowout before,,116.0720117591445,17.45895118196588
Viscosity_std_1275,rLine1000,500,15.270345404474355,32.69511562232242,False,10,10,0,0.8736,111.37178921699524,0.3842410498872125,-12.03272667417296,Incomplete Aspiration and Dispense,Blowout before,,116.0720117591445,17.45895118196588
Viscosity_std_1275,rLine1000,300,15.270345404474355,32.69511562232242,False,10,10,0,0.8736,92.13346219062804,0.2070559468675498,-20.99513626848677,Incomplete Aspiration and Dispense,Blowout before,,116.0720117591445,17.45895118196588
Viscosity_std_1275,rLine1000,"mean[300, 500, 1000]",15.270345404474355,32.69511562232242,False,10,10,0,0.8736,159.22830748558044,0.7371541415924945,-16.21555513868212,Incomplete Aspiration and Dispense,Blowout before,,116.0720117591445,17.45895118196588
Viscosity_std_1275,rLine1000,1000,21.837279434456303,15.535902411426534,False,10,10,0,0.8736,173.53308129310608,0.7431720237920932,-14.929942331491164,Incomplete Aspiration and Dispense,Blowout before,,130.1602868179991,10.132374108413668
Viscosity_std_1275,rLine1000,500,21.837279434456303,15.535902411426534,False,10,10,0,0.8736,118.40310716629028,0.3791120074313802,-13.20695800563641,Incomplete Aspiration and Dispense,Blowout before,,130.1602868179991,10.132374108413668
Viscosity_std_1275,rLine1000,300,21.837279434456303,15.535902411426534,False,10,10,0,0.8736,96.93076276779176,0.2021600427051644,-22.863231568542272,Incomplete Aspiration and Dispense,Blowout before,,130.1602868179991,10.132374108413668
Viscosity_std_1275,rLine1000,"mean[300, 500, 1000]",21.837279434456303,15.535902411426534,False,10,10,0,0.8736,173.53308129310608,0.7431720237920932,-17.000043968556614,Incomplete Aspiration and Dispense,Blowout before,,130.1602868179991,10.132374108413668
Viscosity_std_1275,rLine1000,1000,8.523991927314578,5.129182008591327,False,10,10,0,0.8736,375.483870267868,0.8533152963024248,-2.32196699834882,Complete Transfer,Blowout before,,332.2787864741745,49.79763700732034
Viscosity_std_1275,rLine1000,500,8.523991927314578,5.129182008591327,False,10,10,0,0.8736,219.3554127216339,0.4145198857486318,-5.100758757181357,Incomplete Aspiration and Dispense,Blowout before,,332.2787864741745,49.79763700732034
Viscosity_std_1275,rLine1000,300,8.523991927314578,5.129182008591327,False,10,10,0,0.8736,156.97751188278198,0.2456840478630371,-6.256086743346651,Incomplete Aspiration and Dispense,Blowout before,,332.2787864741745,49.79763700732034
