,test_volume,1,2,3,4,5,6,7,8,9,10,mean,mean_error,relative_error,std_dev,relative_std_dev
0,1000,982.8296703296693,977.9075091575073,977.7930402930389,982.3717948717949,996.2225274725278,985.0045787545766,980.1968864468877,982.2573260073262,982.944139194138,978.3653846153858,982.5892857142853,17.410714285714675,1.7410714285714675,5.104194776794931,0.5194637119500523
1,500,483.4020146520145,482.02838827838724,485.8058608058632,483.4020146520145,469.78021978021883,485.1190476190475,485.1190476190475,483.7454212454203,469.55128205128165,469.78021978021883,479.7733516483513,20.22664835164869,2.022664835164869,6.670510407366712,1.390346167507829
2,300,299.3360805860824,297.50457875457676,297.27564102564355,296.2454212454181,297.7335164835179,281.82234432234225,295.90201465201636,297.6190476190494,296.81776556776515,296.70329670329653,295.69597069597086,4.304029304029143,0.43040293040291433,4.711280371121964,1.5932852788061882
