,Time,Value,Factor,Baseline,Mass,Mass_smooth,Mass_derivative_smooth
0,2023-02-21 16:50:33.675602,-941416,6.862879436681862,-941433.5428186109,2.556189245747184,1.7402052186829489,
1,2023-02-21 16:50:33.681519,-941425,6.862879436681862,-941433.5428186109,1.244786345108234,-0.9117428692758185,-2.6519480879587674
2,2023-02-21 16:50:33.686518,-941480,6.862879436681862,-941433.5428186109,-6.769342492129796,-3.5636909572345843,-2.6519480879587656
3,2023-02-21 16:50:33.690518,-941499,6.862879436681862,-941433.5428186109,-9.537859726812025,-5.778504744980366,-2.214813787745782
4,2023-02-21 16:50:33.695181,-941470,6.862879436681862,-941433.5428186109,-5.312228158086518,-6.507061912002006,-0.7285571670216395
5,2023-02-21 16:50:33.697180,-941492,6.862879436681862,-941433.5428186109,-8.517879692981731,-4.233963550894492,2.2730983611075137
6,2023-02-21 16:50:33.701219,-941450,6.862879436681862,-941433.5428186109,-2.397999489999962,-2.368857203319096,1.865106347575396
7,2023-02-21 16:50:33.703179,-941402,6.862879436681862,-941433.5428186109,4.596149313407774,-3.301410377106794,-0.932553173787698
8,2023-02-21 16:50:33.705179,-941435,6.862879436681862,-941433.5428186109,-0.21232798893504445,-1.7277268963400534,1.5736834807667406
9,2023-02-21 16:50:33.709298,-941502,6.862879436681862,-941433.5428186109,-9.974994027025009,-1.4071617428505325,0.32056515348952086
10,2023-02-21 16:50:33.713375,-941438,6.862879436681862,-941433.5428186109,-0.649462289148028,-4.11739440417103,-2.7102326613204974
11,2023-02-21 16:50:33.718298,-941439,6.862879436681862,-941433.5428186109,-0.7951737225523557,-4.37967498429882,-0.2622805801277899
12,2023-02-21 16:50:33.720346,-941495,6.862879436681862,-941433.5428186109,-8.955013993194715,-2.776849216851214,1.6028257674476056
13,2023-02-21 16:50:33.722746,-941444,6.862879436681862,-941433.5428186109,-1.523730889573995,-5.224801298043921,-2.447952081192707
14,2023-02-21 16:50:33.726011,-941447,6.862879436681862,-941433.5428186109,-1.9608651897869784,-7.119049932300182,-1.894248634256261
15,2023-02-21 16:50:33.728011,-941522,6.862879436681862,-941433.5428186109,-12.889222695111565,-5.778504744980367,1.3405451873198153
16,2023-02-21 16:50:33.730011,-941504,6.862879436681862,-941433.5428186109,-10.266416893833664,-6.8276270654915265,-1.0491223205111595
17,2023-02-21 16:50:33.732011,-941449,6.862879436681862,-941433.5428186109,-2.252288056595634,-6.448777338640273,0.3788497268512536
18,2023-02-21 16:50:33.734011,-941480,6.862879436681862,-941433.5428186109,-6.769342492129796,-3.5345486705537184,2.9142286680865546
19,2023-02-21 16:50:33.735011,-941434,6.862879436681862,-941433.5428186109,-0.0666165555307166,-1.55287317625486,1.9816754942988584
20,2023-02-21 16:50:33.738022,-941422,6.862879436681862,-941433.5428186109,1.6819206453212174,-1.7277268963400532,-0.17485372008519318
21,2023-02-21 16:50:33.741807,-941436,6.862879436681862,-941433.5428186109,-0.35803942233937225,-1.3780194561696666,0.3497074401703866
22,2023-02-21 16:50:33.742732,-941455,6.862879436681862,-941433.5428186109,-3.126556657021601,-1.1157388760418767,0.2622805801277899
23,2023-02-21 16:50:33.744732,-941468,6.862879436681862,-941433.5428186109,-5.0208052912778625,-1.5528731762548602,-0.4371343002129835
24,2023-02-21 16:50:33.746732,-941425,6.862879436681862,-941433.5428186109,1.244786345108234,-2.07743433651044,-0.52456116025558
25,2023-02-21 16:50:33.747732,-941437,6.862879436681862,-941433.5428186109,-0.5037508557437002,-1.8734383297443813,0.2039960067660589
26,2023-02-21 16:50:33.749732,-941454,6.862879436681862,-941433.5428186109,-2.980845223617273,-2.368857203319096,-0.4954188735747147
27,2023-02-21 16:50:33.750732,-941448,6.862879436681862,-941433.5428186109,-2.106576623191306,-3.3305526637876595,-0.9616954604685635
28,2023-02-21 16:50:33.752732,-941485,6.862879436681862,-941433.5428186109,-7.497899659151436,-4.9042361445544,-1.5736834807667401
29,2023-02-21 16:50:33.755732,-941458,6.862879436681862,-941433.5428186109,-3.5636909572345847,-5.312228158086517,-0.4079920135321178
30,2023-02-21 16:50:33.757734,-941491,6.862879436681862,-941433.5428186109,-8.372168259577403,-6.011643038427291,-0.6994148803407736
31,2023-02-21 16:50:33.759734,-941468,6.862879436681862,-941433.5428186109,-5.0208052912778625,-5.749362458299501,0.2622805801277899
32,2023-02-21 16:50:33.760734,-941472,6.862879436681862,-941433.5428186109,-5.603651024895174,-6.186496758512485,-0.4371343002129837
33,2023-02-21 16:50:33.762734,-941476,6.862879436681862,-941433.5428186109,-6.186496758512486,-5.749362458299501,0.4371343002129837
34,2023-02-21 16:50:33.763734,-941473,6.862879436681862,-941433.5428186109,-5.749362458299502,-6.099069898469887,-0.3497074401703859
35,2023-02-21 16:50:33.764733,-941476,6.862879436681862,-941433.5428186109,-6.186496758512486,-6.244781331874215,-0.1457114334043279
36,2023-02-21 16:50:33.766734,-941480,6.862879436681862,-941433.5428186109,-6.769342492129796,-4.554528704384013,1.690252627490202
37,2023-02-21 16:50:33.767832,-941477,6.862879436681862,-941433.5428186109,-6.332208191916814,-5.924216178384694,-1.3696874740006812
38,2023-02-21 16:50:33.769662,-941418,6.862879436681862,-941433.5428186109,2.264766378938529,-5.312228158086517,0.6119880202981767
39,2023-02-21 16:50:33.773256,-941520,6.862879436681862,-941433.5428186109,-12.597799828302911,-4.000825257447567,1.3114029006389503
40,2023-02-21 16:50:33.777262,-941455,6.862879436681862,-941433.5428186109,-3.126556657021601,-2.4854263500425584,1.5153989074050087
