target_volume,1,2,3,4,5,6,7,8,9,10,mean_volume,mean_error,relative_error,std_dev,relative_std_dev
1000,981.3415750915749,987.408424908425,994.9633699633698,990.4990842490841,997.7106227106227,989.1254578754578,995.4212454212454,1002.9761904761905,987.9807692307692,982.8296703296703,991.025641025641,-8.974358974359006,-0.8974358974359007,6.745617366374794,0.6806703164000439
500,493.8186813186813,485.1190476190476,487.7518315018314,495.9935897435898,492.33058608058604,496.45146520146517,498.85531135531136,484.775641025641,480.65476190476187,490.72802197802196,490.6478937728937,-9.352106227106276,-1.870421245421255,5.923706900940302,1.2073234138211157
300,292.0100732600732,281.9368131868132,292.239010989011,279.9908424908425,284.2261904761905,284.6840659340659,293.9560439560439,285.48534798534797,287.43131868131866,292.239010989011,287.4198717948718,-12.580128205128176,-4.193376068376058,4.90941110668824,1.7080973128371684
