,Time,Value,Factor,Baseline,Mass,Mass_smooth,Mass_derivative_smooth,ts,Mass_analysis_smooth,Mass_analysis_derivative_smooth
108,2023-06-22 13:35:28.842764,255437,6.862879436681862,178460.28952380954,11216.38682223565,11071.22460884954,-8.393619053907969,21.628807067871094,-1.7640687136417622e-263,1.2436650648311501e-266
109,2023-06-22 13:35:29.043161,255340,6.862879436681862,178460.28952380954,11202.252813195431,11062.75733346666,-8.467275382879961,21.829204082489014,-1.764372116609091e-263,-3.034029673287117e-267
110,2023-06-22 13:35:29.243737,255207,6.862879436681862,178460.28952380954,11182.873192552655,11054.142745425832,-8.614588040827584,22.02977991104126,-1.7639637250582233e-263,4.0839155086760255e-267
111,2023-06-22 13:35:29.443973,255057,6.862879436681862,178460.28952380954,11161.016477542007,11045.548973304065,-8.59377212176696,22.230015993118286,-1.762757216761094e-263,1.206508297129302e-266
112,2023-06-22 13:35:29.644640,254892,6.862879436681862,178460.28952380954,11136.974091030292,11036.87513995515,-8.67383334891565,22.43068289756775,-1.7619813540772e-263,7.758626838941023e-267
113,2023-06-22 13:35:29.844577,254746,6.862879436681862,178460.28952380954,11115.70022175326,11028.135656399974,-8.739483555174957,22.630620002746582,-1.7618317780062777e-263,1.495760709222202e-267
114,2023-06-22 13:35:30.045068,254618,6.862879436681862,178460.28952380954,11097.049158277507,11019.392970395711,-8.742686004263305,22.831110954284668,-1.7614513763225854e-263,3.8040168369226863e-267
115,2023-06-22 13:35:30.245183,254409,6.862879436681862,178460.28952380954,11066.595468696001,11010.69031500503,-8.702655390681684,23.03122591972351,-1.7611679956239455e-263,2.8338069863990174e-267
116,2023-06-22 13:35:30.445362,254214,6.862879436681862,178460.28952380954,11038.181739182159,11001.88678246814,-8.803532536889179,23.231404781341553,-1.760590347381928e-263,5.776482420174028e-267
117,2023-06-22 13:35:30.645634,254173,6.862879436681862,178460.28952380954,11032.20757041258,10993.089654829419,-8.797127638721577,23.431676864624023,-1.761028494810313e-263,-4.381474283848854e-267
118,2023-06-22 13:35:30.846617,253961,6.862879436681862,178460.28952380954,11001.316746530863,10984.18844759541,-8.901207234008325,23.632659912109375,-1.7606514753551834e-263,3.770194551296248e-267
119,2023-06-22 13:35:31.046738,253865,6.862879436681862,178460.28952380954,10987.328448924049,10975.348086894035,-8.840360701375175,23.832780838012695,-1.760686396365724e-263,-3.4921010540757384e-268
120,2023-06-22 13:35:31.251410,253744,6.862879436681862,178460.28952380954,10969.697365482125,10966.400444148287,-8.947642745748453,24.037452936172485,-1.7597056201708696e-263,9.807761948545308e-267
121,2023-06-22 13:35:31.451243,253628,6.862879436681862,178460.28952380954,10952.794839207221,10957.406365890789,-8.994078257497677,24.23728585243225,-1.759620804611721e-263,8.481555914850616e-268
122,2023-06-22 13:35:31.648145,253470,6.862879436681862,178460.28952380954,10929.772432729338,10948.377060693347,-9.029305197442227,24.43418788909912,-1.759586522416395e-263,3.4282195326179306e-268
123,2023-06-22 13:35:31.854678,253361,6.862879436681862,178460.28952380954,10913.889886488267,10939.368571414965,-9.008489278381603,24.6407208442688,-1.759110603157924e-263,4.759192584708584e-267
124,2023-06-22 13:35:32.051283,253260,6.862879436681862,178460.28952380954,10899.17303171443,10930.313646624843,-9.054924790121731,24.83732581138611,-1.7592789871447593e-263,-1.6838398683520942e-267
125,2023-06-22 13:35:32.256887,253051,6.862879436681862,178460.28952380954,10868.719342132925,10921.170654484853,-9.142992139990383,25.042929887771606,-1.759087723285617e-263,1.9126385914236536e-267
126,2023-06-22 13:35:32.450356,252947,6.862879436681862,178460.28952380954,10853.565353058875,10912.122134592899,-9.048519891954129,25.236398935317993,-1.7584932085011984e-263,5.945147844185173e-267
127,2023-06-22 13:35:32.651511,252854,6.862879436681862,178460.28952380954,10840.014189752272,10903.011166943772,-9.110967649126906,25.437553882598877,-1.758315167185951e-263,1.7804131524743891e-267
128,2023-06-22 13:35:32.857256,252765,6.862879436681862,178460.28952380954,10827.045872179287,10893.89059194739,-9.120574996382857,25.643298864364624,-1.7583161982045998e-263,-1.0310186488418037e-269
129,2023-06-22 13:35:33.057923,252614,6.862879436681862,178460.28952380954,10805.043445735233,10884.696360622029,-9.194231325360306,25.843966007232666,-1.7581685120292847e-263,1.4768617531509466e-267
130,2023-06-22 13:35:33.259953,252506,6.862879436681862,178460.28952380954,10789.306610927566,10875.484515826698,-9.211844795330762,26.045995712280273,-1.7584985883581997e-263,-3.3007632891501992e-267
131,2023-06-22 13:35:33.457374,252423,6.862879436681862,178460.28952380954,10777.212561955008,10866.275873480447,-9.208642346251509,26.243416786193848,-1.757354304151721e-263,1.1442842064787324e-266
