liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out,delay_aspirate,delay_dispense,delay_blow_out,density,time,m,%error
Viscosity_std_204,rLine1000,1000,102.93901302036107,15.379468762409244,False,10,10,0,0.8639,139.66407942771912,0.8375638903514169,-3.048513676187421
Viscosity_std_204,rLine1000,1000,102.93901302036107,15.379468762409244,False,10,10,0,0.8639,137.92552733421326,0.8558943886736813,-0.926682639925769
Viscosity_std_204,rLine1000,1000,102.93901302036107,15.379468762409244,False,10,10,0,0.8639,138.1073579788208,0.8578469218812992,-0.7006688411506906
Viscosity_std_204,rLine1000,1000,102.93901302036107,15.379468762409244,False,10,10,0,0.8639,138.13060641288757,0.8572349338610011,-0.7715089870354052
Viscosity_std_204,rLine1000,1000,102.93901302036107,15.379468762409244,False,10,10,0,0.8639,138.5607557296753,0.8560983846804471,-0.9030692579642232
Viscosity_std_204,rLine1000,1000,102.93901302036107,15.379468762409244,False,10,10,0,0.8639,138.32908940315247,0.852455598845339,-1.3247367929923666
Viscosity_std_204,rLine1000,1000,102.93901302036107,15.379468762409244,False,10,10,0,0.8639,139.7124412059784,0.8545247011996803,-1.085229633096392
Viscosity_std_204,rLine1000,1000,102.93901302036107,15.379468762409244,False,10,10,0,0.8639,138.14263939857483,0.8470059912360172,-1.9555514253944712
Viscosity_std_204,rLine1000,1000,102.93901302036107,15.379468762409244,False,10,10,0,0.8639,138.16062259674072,0.8613294251396628,-0.2975546776637554
Viscosity_std_204,rLine1000,1000,102.93901302036107,15.379468762409244,False,10,10,0,0.8639,138.31978583335876,0.8545684146297018,-1.0801696226760287
Viscosity_std_204,rLine1000,500,102.93901302036107,15.379468762409244,False,10,10,0,0.8639,102.40705180168152,0.41779839300022925,-3.276214145102616
Viscosity_std_204,rLine1000,500,102.93901302036107,15.379468762409244,False,10,10,0,0.8639,100.6972496509552,0.4261913715643185,-1.3331701436928993
Viscosity_std_204,rLine1000,500,102.93901302036107,15.379468762409244,False,10,10,0,0.8639,101.26729440689087,0.4207126216683157,-2.601546089057602
Viscosity_std_204,rLine1000,500,102.93901302036107,15.379468762409244,False,10,10,0,0.8639,101.19897437095642,0.42189288427889077,-2.3283055263593546
Viscosity_std_204,rLine1000,300,102.93901302036107,15.379468762409244,False,10,10,0,0.8639,85.9530942440033,0.2541207398571478,-1.9482425214539605
Viscosity_std_204,rLine1000,300,102.93901302036107,15.379468762409244,False,10,10,0,0.8639,85.69546031951904,0.25477644130746724,-1.695242000437077
Viscosity_std_204,rLine1000,300,102.93901302036107,15.379468762409244,False,10,10,0,0.8639,85.73679661750793,0.2516873589192955,-2.8871555661166455
Viscosity_std_204,rLine1000,300,102.93901302036107,15.379468762409244,False,10,10,0,0.8639,85.80764031410217,0.2509005171789121,-3.190756191336927
Viscosity_std_204,rLine1000,500,102.93901302036107,15.379468762409244,False,10,10,0,0.8639,102.22510552406311,0.4085020035490334,-5.4284052438862425
Viscosity_std_204,rLine1000,500,102.93901302036107,15.379468762409244,False,10,10,0,0.8639,100.82671523094177,0.4215431768387204,-2.4092656930847576
Viscosity_std_204,rLine1000,500,102.93901302036107,15.379468762409244,False,10,10,0,0.8639,100.5163516998291,0.4262205138509994,-1.326423463132445
Viscosity_std_204,rLine1000,500,102.93901302036107,15.379468762409244,False,10,10,0,0.8639,100.63792657852173,0.3943534233654728,-8.703918655985
Viscosity_std_204,rLine1000,500,102.93901302036107,15.379468762409244,False,10,10,0,0.8639,100.64145874977112,0.41803153129367615,-3.222240700619018
Viscosity_std_204,rLine1000,500,102.93901302036107,15.379468762409244,False,10,10,0,0.8639,100.70877528190613,0.4147821663287597,-3.974495583109227
