liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out,delay_aspirate,delay_dispense,delay_blow_out,density,time,m,%error,Transfer_Observation,Comment
Viscosity_std_204,rLine1000,1000,127.13077513872057,127.13077513872057,False,10,10,0,0.8639,78.72553777694702,0.7586028645896115,-12.18857916545764,Complete Transfer,Blowout before
Viscosity_std_204,rLine1000,1000,127.13077513872057,127.13077513872057,False,10,10,0,0.8639,78.78597903251648,0.8551221180766384,-1.0160761573517303,Complete Transfer,No blowout before
Viscosity_std_204,rLine1000,500,127.13077513872057,127.13077513872057,False,10,10,0,0.8639,71.04790019989014,0.4029358267929878,-6.717021230932334,Complete Transfer,Blowout before
Viscosity_std_204,rLine1000,500,127.13077513872057,127.13077513872057,False,10,10,0,0.8639,71.06238269805908,0.4206689082382945,-2.6116661098982514,Complete Transfer,No blowout before
Viscosity_std_204,rLine1000,300,127.13077513872057,127.13077513872057,False,10,10,0,0.8639,67.99854326248169,0.23825276475941637,-8.070855130062755,Complete Transfer,Blowout before
Viscosity_std_204,rLine1000,300,127.13077513872057,127.13077513872057,False,10,10,0,0.8639,68.09246563911438,0.24556747871631368,-5.24849376227431,Complete Transfer,No blowout before
Viscosity_std_204,rLine1000,1000,158.91346875,158.91346875,False,10,10,0,0.8639,75.88720035552979,0.682424927205829,-21.00649065796631,Complete Transfer,Blowout before
Viscosity_std_204,rLine1000,1000,158.91346875,158.91346875,False,10,10,0,0.8639,76.00375556945801,0.8301180361044557,-3.910402117784967,Complete Transfer,No blowout before
Viscosity_std_204,rLine1000,500,158.91346875,158.91346875,False,10,10,0,0.8639,69.86983370780945,0.39467398851896235,-8.629705169820037,Complete Transfer,Blowout before
Viscosity_std_204,rLine1000,500,158.91346875,158.91346875,False,10,10,0,0.8639,69.81649327278137,0.426074802417595,-1.3601568659347174,Complete Transfer,No blowout before
Viscosity_std_204,rLine1000,300,158.91346875,158.91346875,False,10,10,0,0.8639,67.24219799041748,0.2226033568117916,-14.109134231665857,Complete Transfer,Blowout before
Viscosity_std_204,rLine1000,300,158.91346875,158.91346875,False,10,10,0,0.8639,67.23813319206238,0.25417902443050944,-1.9257535862524884,Complete Transfer,No blowout before
Viscosity_std_204,rLine1000,1000,12.7130775,158.91346875,False,10,10,0,0.8639,148.58874440193176,0.6833429092362763,-20.900230439139218,Complete Transfer,Blowout before
Viscosity_std_204,rLine1000,1000,12.7130775,158.91346875,False,10,10,0,0.8639,149.86025023460388,0.812210100939064,-5.983319719983333,Complete Transfer,No blowout before
Viscosity_std_204,rLine1000,500,12.7130775,158.91346875,False,10,10,0,0.8639,105.73282241821289,0.375512935026293,-13.065647638316236,Complete Transfer,Blowout before
Viscosity_std_204,rLine1000,500,12.7130775,158.91346875,False,10,10,0,0.8639,105.87006878852844,0.4238745597731896,-1.869531248248731,Complete Transfer,No blowout before
Viscosity_std_204,rLine1000,300,12.7130775,158.91346875,False,10,10,0,0.8639,88.84198260307312,0.2088190552117422,-19.427767406820927,Complete Transfer,Blowout before
Viscosity_std_204,rLine1000,300,12.7130775,158.91346875,False,10,10,0,0.8639,89.01821255683899,0.25726810681868123,-0.7338400205728985,Complete Transfer,No blowout before
Viscosity_std_204,rLine1000,1000,158.91346875,12.7130775,False,10,10,0,0.8639,148.28491020202637,0.844441470008101,-2.25240537005429,Complete Transfer,Blowout before
Viscosity_std_204,rLine1000,1000,158.91346875,12.7130775,False,10,10,0,0.8639,148.51303005218506,0.8596100302254917,-0.49658175419705414,Complete Transfer,No blowout before
Viscosity_std_204,rLine1000,500,158.91346875,12.7130775,False,10,10,0,0.8639,105.99462151527405,0.4221551648590185,-2.2675854013153156,Complete Transfer,Blowout before
Viscosity_std_204,rLine1000,300,158.91346875,12.7130775,False,10,10,0,0.8639,90.47748756408691,0.25423730900387137,-1.903264651050909,Complete Transfer,Blowout before
Viscosity_std_204,rLine1000,300,158.91346875,12.7130775,False,10,10,0,0.8639,89.0758421421051,0.2531299021099983,-2.330554419879502,Complete Transfer,No Blowout before
Viscosity_std_204,rLine1000,500,158.91346875,12.7130775,False,10,10,0,0.8639,105.75437808036804,0.42805647791189383,-0.9013825878240934,Complete Transfer,No blowout before
Viscosity_std_204,rLine1000,1000,12.7130775,12.7130775,False,10,10,0,0.8639,220.69521856307983,0.8439023377045051,-2.314812165238446,Complete Transfer,Blowout before
Viscosity_std_204,rLine1000,1000,12.7130775,12.7130775,False,10,10,0,0.8639,220.75702667236328,0.8558652463870006,-0.9300559802059769,Complete Transfer,No blowout before
Viscosity_std_204,rLine1000,500,12.7130775,12.7130775,False,10,10,0,0.8639,142.46250009536743,0.42859561021548986,-0.7765689974557557,Complete Transfer,Blowout before
Viscosity_std_204,rLine1000,500,12.7130775,12.7130775,False,10,10,0,0.8639,142.18268060684204,0.43140784088019335,-0.12551432337230028,Complete Transfer,No blowout before
Viscosity_std_204,rLine1000,300,12.7130775,12.7130775,False,10,10,0,0.8639,112.98713779449463,0.25021567344191226,-3.4550011799543756,Complete Transfer,Blowout before
Viscosity_std_204,rLine1000,300,12.7130775,12.7130775,False,10,10,0,0.8639,110.55666851997375,0.2555924253345314,-1.3803969076160807,Complete Transfer,No blowout before
