liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,error,Transfer_Observation,Comment
Viscosity_std_398,p1000,1000.0,52.3,47.5,0,3.1,2.8,0,True,False,0.8672,51.06145262718201,21.341,22.1859,0.8448999999999991,-2.57149446494475,Incomplete aspiration,
Viscosity_std_398,p1000,1000.0,49.7,64.4,0,5.7,0.3,0,True,False,0.8672,46.73813486099243,22.1859,22.9711,0.7851999999999997,-9.455719557195605,Incomplete dispense,
Viscosity_std_398,p1000,1000.0,52.3,47.5,0,3.1,2.8,0,True,False,0.8672,51.16862726211548,22.9711,23.8176,0.8464999999999989,-2.3869926199263207,Incomplete dispense,
Viscosity_std_398,p1000,1000.0,44.8,6.9,0,5.3,5.8,0,True,False,0.8672,185.07739806175232,23.8176,24.7053,0.8877000000000024,2.3639298892991705,Excess dispense,
Viscosity_std_398,p1000,1000.0,49.3,6.1,0,0.1,6.0,0,True,False,0.8672,200.56383323669434,24.7053,25.5288,0.8234999999999992,-5.039206642066506,incomplete aspiration,
Viscosity_std_398,p1000,1000.0,41.6,64.7,0,5.6,5.9,0,True,False,0.8672,56.228569746017456,25.5288,26.4075,0.8786999999999985,1.3261070110699391,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,65.9,6.0,0,5.8,5.0,0,True,False,0.8672,200.161203622818,26.4075,27.2925,0.8850000000000016,2.052583025830442,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,31.6,19.7,0,5.9,4.6,0,True,False,0.8672,98.68493247032166,27.2925,28.1742,0.8816999999999986,1.6720479704795461,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,27.6,35.6,0,4.1,5.5,0,True,False,0.8672,79.73119807243347,29.049,29.9238,0.8748999999999999,0.8763837638238476,Within tolerance of 1000uL,
Viscosity_std_398,p1000,1000.0,27.6,35.6,0,4.1,5.5,0,True,False,0.8672,79.74852228164673,29.9238,30.79,0.8661999999999992,-0.11531365313662109,Within tolerance of 1000uL,
