liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out,delay_aspirate,delay_dispense,delay_blow_out,density,time,m,%error
Viscosity_std_1275,rLine1000,500.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,299.31894993782043,0.4239765577765726,-2.9357697397956515
Viscosity_std_1275,rLine1000,500.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,297.7816908359528,0.4231897160361894,-3.1159075008724
Viscosity_std_1275,rLine1000,500.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,297.804363489151,0.4185852347406125,-4.170046991618012
Viscosity_std_1275,rLine1000,500.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,297.8330068588257,0.4109353844868853,-5.921386335420031
Viscosity_std_1275,rLine1000,1000.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,532.4852559566498,0.860090877955726,-1.546373860379351
Viscosity_std_1275,rLine1000,1000.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,532.3585109710693,0.846190007208953,-3.137590749890917
Viscosity_std_1275,rLine1000,1000.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,532.1780490875244,0.8593040362153426,-1.6364427409177509
Viscosity_std_1275,rLine1000,1000.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,532.4057765007019,0.8512607650914237,-2.557146853087954
Viscosity_std_1275,rLine1000,300.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,203.88466930389404,0.23061748564902967,-12.004927636969763
Viscosity_std_1275,rLine1000,300.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,203.94140005111694,0.24593175729982447,-6.161570016855754
Viscosity_std_1275,rLine1000,300.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,203.84020495414734,0.23892303735307632,-8.835837395804223
Viscosity_std_1275,rLine1000,300.0,3.867114970935985,4.755213441593282,False,10,10,0,0.8736,204.02372908592224,0.23430398491415916,-10.598296354487513
