liquid,pipette,volume,aspiration_rate,dispense_rate,delay_aspirate,delay_dispense,liquid_level,density,m,%error,volume_transfered,volume_error,time_asp_1000
Viscosity_std_817,rLine1000,1000,13.285177438643991,6.435688178965451,10,10,45.06502927131489,0.8466,0.8190731094524076,-3.251463565744435,0.9674853643425556,-999.0325146356574,250.65539697789555
Viscosity_std_817,rLine1000,1000,13.285177438643991,6.435688178965451,10,10,43.0930196807486,0.8466,0.834751659686713,-1.3995204716852072,0.9860047952831479,-999.0139952047168,250.65539697789555
Viscosity_std_817,rLine1000,1000,13.285177438643991,6.435688178965451,10,10,41.11901357160506,0.8466,0.8355967860004585,-1.299694542823236,0.9870030545717676,-999.0129969454282,250.65539697789555
Viscosity_std_817,rLine1000,1000,13.285177438643991,6.435688178965451,10,10,39.15285584583412,0.8466,0.8322745653188398,-1.6921137114528952,0.9830788628854711,-999.0169211371145,250.65539697789555
Viscosity_std_817,rLine1000,1000,13.285177438643991,6.435688178965451,10,10,37.168144266388495,0.8466,0.8401284115793329,-0.7644210277187674,0.9923557897228124,-999.0076442102771,250.65539697789555
Viscosity_std_817,rLine1000,1000,13.285177438643991,6.435688178965451,10,10,35.200093290242584,0.8466,0.8330759782025635,-1.5974511927045243,0.9840254880729548,-999.0159745119271,250.65539697789555
Viscosity_std_817,rLine1000,1000,13.285177438643991,6.435688178965451,10,10,33.236035351251154,0.8466,0.8313857255750734,-1.797103050428375,0.9820289694957163,-999.0179710305043,250.65539697789555
Viscosity_std_817,rLine1000,1000,13.285177438643991,6.435688178965451,10,10,31.27480007645513,0.8466,0.8301908918211577,-1.9382362601987164,0.9806176373980129,-999.019382362602,250.65539697789555
Viscosity_std_817,rLine1000,1000,13.285177438643991,6.435688178965451,10,10,29.310776560197787,0.8466,0.8313711544317327,-1.7988241871329216,0.9820117581286708,-999.0179882418713,250.65539697789555
Viscosity_std_817,rLine1000,1000,13.285177438643991,6.435688178965451,10,10,27.321073684309066,0.8466,0.8422412273636956,-0.5148562055639575,0.9948514379443604,-999.0051485620556,250.65539697789555
Viscosity_std_817,rLine1000,500,13.285177438643991,6.435688178965451,10,10,26.345602245657556,0.8466,0.41291705998118416,-2.4528561348490063,0.487735719325755,-499.51226428067423,250.65539697789555
Viscosity_std_817,rLine1000,500,13.285177438643991,6.435688178965451,10,10,25.327549884936317,0.8466,0.43094156429329955,1.8052360721236806,0.5090261803606184,-499.4909738196394,250.65539697789555
Viscosity_std_817,rLine1000,500,13.285177438643991,6.435688178965451,10,10,24.327156386803416,0.8466,0.42346656775965763,0.039349813290248274,0.5001967490664513,-499.49980325093355,250.65539697789555
Viscosity_std_817,rLine1000,500,13.285177438643991,6.435688178965451,10,10,23.3403254459021,0.8466,0.417725537283527,-1.3169059098684135,0.4934154704506579,-499.50658452954934,250.65539697789555
Viscosity_std_817,rLine1000,500,13.285177438643991,6.435688178965451,10,10,22.364647470846048,0.8466,0.41300448684122676,-2.4322024943948146,0.4878389875280259,-499.51216101247195,250.65539697789555
Viscosity_std_817,rLine1000,500,13.285177438643991,6.435688178965451,10,10,21.354546761699677,0.8466,0.4275756301816596,1.01007091463728,0.5050503545731864,-499.4949496454268,250.65539697789555
Viscosity_std_817,rLine1000,500,13.285177438643991,6.435688178965451,10,10,20.355495750196297,0.8466,0.4228982931693806,-0.09489884966203832,0.4995255057516898,-499.5004744942483,250.65539697789555
Viscosity_std_817,rLine1000,500,13.285177438643991,6.435688178965451,10,10,19.363604667383704,0.8466,0.4198674953545706,-0.8108917187407123,0.49594554140629643,-499.5040544585937,250.65539697789555
Viscosity_std_817,rLine1000,500,13.285177438643991,6.435688178965451,10,10,18.374949321575603,0.8466,0.41849780788057,-1.134465419189701,0.4943276729040515,-499.50567232709597,250.65539697789555
Viscosity_std_817,rLine1000,500,13.285177438643991,6.435688178965451,10,10,17.39083777666742,0.8466,0.4165744169596329,-1.5888455091819358,0.4920557724540903,-499.5079442275459,250.65539697789555
Viscosity_std_817,rLine1000,300,13.285177438643991,6.435688178965451,10,10,16.793362381061723,0.8466,0.2529113349598918,-0.42076739905040506,0.2987376978028488,-299.70126230219716,250.65539697789555
Viscosity_std_817,rLine1000,300,13.285177438643991,6.435688178965451,10,10,16.209621656358063,0.8466,0.2470974487670591,-2.709879216056749,0.2918703623518298,-299.70812963764814,250.65539697789555
Viscosity_std_817,rLine1000,300,13.285177438643991,6.435688178965451,10,10,15.650975104806248,0.8466,0.2364750852718836,-6.892241408030726,0.2793232757759079,-299.7206767242241,250.65539697789555
Viscosity_std_817,rLine1000,300,13.285177438643991,6.435688178965451,10,10,15.09645928134527,0.8466,0.23472654807103172,-7.580696089837123,0.2772579117304887,-299.7227420882695,250.65539697789555
Viscosity_std_817,rLine1000,300,13.285177438643991,6.435688178965451,10,10,14.528346477918616,0.8466,0.24048214969050263,-5.314532762224351,0.28405640171332697,-299.7159435982867,250.65539697789555
Viscosity_std_817,rLine1000,300,13.285177438643991,6.435688178965451,10,10,13.903057513167939,0.8466,0.26468481877896155,4.214827458446142,0.3126444823753385,-299.68735551762467,250.65539697789555
Viscosity_std_817,rLine1000,300,13.285177438643991,6.435688178965451,10,10,13.340934265473,0.8466,0.2379467707492674,-6.312792050843625,0.2810616238474692,-299.71893837615255,250.65539697789555
Viscosity_std_817,rLine1000,300,13.285177438643991,6.435688178965451,10,10,12.768725156689598,0.8466,0.2422161157480142,-4.631815202766301,0.2861045543917011,-299.7138954456083,250.65539697789555
