liquid,Viscosity 900 s-1,Viscosity 100 s-1,Viscosity 10 s-1,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,time,%error,m_measured,m_expected
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,2.83,3.0,0.0,1.0,0.0,50.43400741,-0.023062731,0.2601,0.2601599999999999
Viscosity_std_398.4,398.4,398.4,398.4,p1000,300.0,53.0,53.0,5.0,2.83,3.0,0.0,1.0,0.0,50.54767179,-1.637453875,0.2559,0.2601599999999999
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,82.5,82.5,82.5,15.0,0.0,15.0,1.0,0.0,61.9645,-12.6960332103321,0.7571,0.8672
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,45.63865839756804,77.95795498857923,43.08800400580572,12.260718806223846,3.3278019927587534,5.9293134939399135,1.0,0.0,65.561,-7.702952029520292,0.8004,0.8672
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,79.3560297649453,75.6754698343411,52.14619446198777,11.92603409968028,11.183885342461089,1.6520080798803847,1.0,0.0,59.2399,-5.754151291512908,0.8173,0.8672
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,55.1880502261358,59.40636356687677,10.900097521829348,4.049934620467123,11.908217620766294,9.325699524579637,1.0,0.0,78.3955,-5.961715867158668,0.8155,0.8672
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,58.844413144245785,36.01730695389376,13.994938942732066,10.669256989081031,0.1271057657142494,0.6775358043799163,1.0,0.0,71.9225,-2.363929889298889,0.8467,0.8672
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,74.59667287795521,82.5,64.79584701859959,0.8575227936565526,15.0,15.0,1.0,0.0,64.6368,-24.400369003690038,0.6556,0.8672
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,53.87303695605239,71.25784256818153,22.30013237628978,12.812831885340135,1.6634047380657344,4.35305268770841,1.0,0.0,62.8873,-6.0539667896678955,0.8147,0.8672
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,82.5,82.5,0.0,15.0,15.0,0.0,1.0,0.0,60.052,-10.355166051660516,0.7774,0.8672
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,82.5,82.5,9.159339953157541e-15,0.0,0.0,15.0,1.0,0.0,30.0855,-32.67988929889299,0.5838,0.8672
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,80.24776854557973,64.25076746627538,67.14373608897891,3.3648321076150385,2.5228915461567647,5.7982509235121675,1.0,0.0,47.6788,-12.465405904059038,0.7591,0.8672
Viscosity_std_398.4,398.4,398.4,398.4,p1000,1000.0,71.13079224785795,38.190100439444464,49.56005127503423,11.778204948061624,0.295356173449623,9.069798124958744,1.0,0.0,70.1912,-1.6374538745387444,0.853,0.8672
