,liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out,delay_aspirate,delay_dispense,delay_blow_out,density,time,m,%error,time_asp_1000,acq_value
0,Viscous_std_505,rLine1000,1000,107.42,107.42,False,10,10,0,0.8683,77.29285216331482,0.6614279096522655,-23.82495570053374,38.61850679575498,
1,Viscous_std_505,rLine1000,500,107.42,107.42,False,10,10,0,0.8683,67.62011456489563,0.4212080405418904,-2.980988012924002,38.61850679575498,
2,Viscous_std_505,rLine1000,300,107.42,107.42,False,10,10,0,0.8683,64.09515166282654,0.2596286320398313,-0.3306721794190656,38.61850679575498,
3,Viscous_std_505,rLine1000,"mean[300, 500, 1000]",107.42,107.42,False,10,10,0,0.8683,77.29285216331482,0.6614279096522655,-9.045538630958935,38.61850679575498,
4,Viscous_std_505,rLine1000,1000,134.275,134.275,False,10,10,0,0.8683,73.39270615577698,0.6466236280183857,-25.529928824325037,34.89480543660398,
5,Viscous_std_505,rLine1000,500,134.275,134.275,False,10,10,0,0.8683,66.07022261619568,0.4227671528793167,-2.621869658109702,34.89480543660398,
6,Viscous_std_505,rLine1000,300,134.275,134.275,False,10,10,0,0.8683,63.0184965133667,0.24220154460467372,-7.020789817392714,34.89480543660398,
7,Viscous_std_505,rLine1000,"mean[300, 500, 1000]",134.275,134.275,False,10,10,0,0.8683,73.39270615577698,0.6466236280183857,-11.724196099942484,34.89480543660398,
8,Viscous_std_505,rLine1000,1000,134.275,10.742,False,10,10,0,0.8683,159.45989084243774,0.8491770915937418,-2.2023388697752146,120.53993669707688,
9,Viscous_std_505,rLine1000,500,134.275,10.742,False,10,10,0,0.8683,110.20724582672119,0.4257688084074459,-1.930482918934486,120.53993669707688,
10,Viscous_std_505,rLine1000,300,134.275,10.742,False,10,10,0,0.8683,89.05914235115051,0.26315484872821604,1.0230138309401666,120.53993669707688,
11,Viscous_std_505,rLine1000,"mean[300, 500, 1000]",134.275,10.742,False,10,10,0,0.8683,159.45989084243774,0.8491770915937418,-1.7186118732166225,120.53993669707688,
12,Viscous_std_505,rLine1000,1000,10.742,134.275,False,10,10,0,0.8683,159.89381432533264,0.6389300643346371,-26.415977849287447,120.53993669707688,
13,Viscous_std_505,rLine1000,500,10.742,134.275,False,10,10,0,0.8683,109.35003709793091,0.4099299755963955,-5.578722654291026,120.53993669707688,
14,Viscous_std_505,rLine1000,300,10.742,134.275,False,10,10,0,0.8683,89.06273698806763,0.23478483264439345,-9.868005434222637,120.53993669707688,
15,Viscous_std_505,rLine1000,"mean[300, 500, 1000]",10.742,134.275,False,10,10,0,0.8683,159.89381432533264,0.6389300643346371,-13.95423531260037,120.53993669707688,
16,Viscous_std_505,rLine1000,1000,10.742,10.742,False,10,10,0,0.8683,245.783518075943,0.8656279124250904,-0.30773782965674934,206.1850679575498,
17,Viscous_std_505,rLine1000,500,10.742,10.742,False,10,10,0,0.8683,152.4349148273468,0.44060223232800655,1.4861758212614462,206.1850679575498,
18,Viscous_std_505,rLine1000,300,10.742,10.742,False,10,10,0,0.8683,115.28640699386597,0.24450378525246208,-6.136978289968106,206.1850679575498,
19,Viscous_std_505,rLine1000,"mean[300, 500, 1000]",10.742,10.742,False,10,10,0,0.8683,245.783518075943,0.8656279124250904,-2.6436306469621003,206.1850679575498,
