liquid,pipette,volume,aspiration_rate,dispense_rate,delay_aspirate,delay_dispense,liquid_level,density,m,%error
Viscosity_std_204,rLine1000,1000,83.47337041012943,26.404968076385558,10,10,44.579658578676195,0.8639,0.8294914769408169,-3.982928933809824
Viscosity_std_204,rLine1000,1000,83.47337041012943,26.404968076385558,10,10,42.609189320788246,0.8639,0.8511441959447,-1.4765371056024967
Viscosity_std_204,rLine1000,1000,83.47337041012943,26.404968076385558,10,10,40.646276345128,0.8639,0.8478802598364433,-1.8543512169876923
Viscosity_std_204,rLine1000,1000,83.47337041012943,26.404968076385558,10,10,38.6630558609808,0.8639,0.8566520881273838,-0.8389757926399116
Viscosity_std_204,rLine1000,1000,83.47337041012943,26.404968076385558,10,10,36.728647610688455,0.8639,0.8355676437137776,-3.2795874853828497
Viscosity_std_204,rLine1000,1000,83.47337041012943,26.404968076385558,10,10,34.75618808203517,0.8639,0.8520038934017857,-1.3770235673358344
Viscosity_std_204,rLine1000,1000,83.47337041012943,26.404968076385558,10,10,32.786191091786456,0.8639,0.850940199937934,-1.500150487564068
Viscosity_std_204,rLine1000,1000,83.47337041012943,26.404968076385558,10,10,30.835826941968648,0.8639,0.8424597945138023,-2.4817925091095887
Viscosity_std_204,rLine1000,1000,83.47337041012943,26.404968076385558,10,10,28.879087179021212,0.8639,0.8452137406051441,-2.1630118526283026
Viscosity_std_204,rLine1000,1000,83.47337041012943,26.404968076385558,10,10,26.91890660898795,0.8639,0.8466999972258683,-1.9909714983368094
Viscosity_std_204,rLine1000,500,83.47337041012943,26.404968076385558,10,10,25.929843238825917,0.8639,0.42722592274148913,-1.0936629837969378
Viscosity_std_204,rLine1000,500,83.47337041012943,26.404968076385558,10,10,24.932683851991346,0.8639,0.430722997143193,-0.2840613165428849
Viscosity_std_204,rLine1000,500,83.47337041012943,26.404968076385558,10,10,23.93684006786606,0.8639,0.4301547225529162,-0.4156215874716515
Viscosity_std_204,rLine1000,500,83.47337041012943,26.404968076385558,10,10,22.94612376096672,0.8639,0.4279399087651706,-0.9283693100658472
Viscosity_std_204,rLine1000,500,83.47337041012943,26.404968076385558,10,10,21.992446730344252,0.8639,0.4119407933773753,-4.6322969377531376
Viscosity_std_204,rLine1000,500,83.47337041012943,26.404968076385558,10,10,21.019744060541314,0.8639,0.4201589182213793,-2.729733019706148
Viscosity_std_204,rLine1000,500,83.47337041012943,26.404968076385558,10,10,20.064414093181533,0.8639,0.4126547794010565,-4.467003264022111
Viscosity_std_204,rLine1000,500,83.47337041012943,26.404968076385558,10,10,19.110028661100216,0.8639,0.4122467873875243,-4.5614567918684354
Viscosity_std_204,rLine1000,500,83.47337041012943,26.404968076385558,10,10,18.172914731253655,0.8639,0.4047863619972227,-6.288607015343748
Viscosity_std_204,rLine1000,500,83.47337041012943,26.404968076385558,10,10,17.187190967969048,0.8639,0.4257833795507864,-1.4276236715392112
Viscosity_std_204,rLine1000,300,83.47337041012943,26.404968076385558,10,10,16.600263492612665,0.8639,0.25352332298019,-2.178754107269372
Viscosity_std_204,rLine1000,300,83.47337041012943,26.404968076385558,10,10,16.04386474679232,0.8639,0.2403364382570983,-7.2668756966090635
Viscosity_std_204,rLine1000,300,83.47337041012943,26.404968076385558,10,10,15.456802337824726,0.8639,0.25358160755355175,-2.1562651720678567
Viscosity_std_204,rLine1000,300,83.47337041012943,26.404968076385558,10,10,14.903270931242572,0.8639,0.23909789107316157,-7.744765569640948
Viscosity_std_204,rLine1000,300,83.47337041012943,26.404968076385558,10,10,14.350178058896846,0.8639,0.23890846620973594,-7.8178546090458285
Viscosity_std_204,rLine1000,300,83.47337041012943,26.404968076385558,10,10,13.79182277571397,0.8639,0.24118156457084342,-6.940786136187288
Viscosity_std_204,rLine1000,300,83.47337041012943,26.404968076385558,10,10,13.232421757044223,0.8639,0.24163327001439688,-6.766496888375633
Viscosity_std_204,rLine1000,300,83.47337041012943,26.404968076385558,10,10,12.67065940017832,0.8639,0.24265325004822713,-6.372940522349377
Viscosity_std_204,rLine1000,300,83.47337041012943,26.404968076385558,10,10,12.112641451023466,0.8639,0.24103585313743908,-6.997008474191044
Viscosity_std_204,rLine1000,300,83.47337041012943,26.404968076385558,10,10,11.535058128243305,0.8639,0.2494871162748901,-3.7361128699733452
