,liquid,pipette,volume,aspiration_rate,dispense_rate,delay_aspirate,delay_dispense,liquid_level,density,m,%error,volume_transfered,volume_error,time_asp_1000
0,Viscosity_std_204,rLine1000,1000,138.90437406344466,18.24852863247468,10,10,46.024504465094516,0.8639,0.8533152963024245,-1.2252232547257171,0.9877477674527428,-999.0122522325472,81.99813593413405
1,Viscosity_std_204,rLine1000,1000,138.90437406344466,18.24852863247468,10,10,44.08098819604557,0.8639,0.8395018524156942,-2.8241865475524723,0.9717581345244752,-999.0282418654755,81.99813593413405
2,Viscosity_std_204,rLine1000,1000,138.90437406344466,18.24852863247468,10,10,42.117096951704056,0.8639,0.8483028229933158,-1.8054377829244324,0.9819456221707556,-999.0180543778292,81.99813593413405
3,Viscosity_std_204,rLine1000,1000,138.90437406344466,18.24852863247468,10,10,40.16673280188625,0.8639,0.8424597945138023,-2.4817925091095887,0.9751820749089041,-999.024817925091,81.99813593413405
4,Viscosity_std_204,rLine1000,1000,138.90437406344466,18.24852863247468,10,10,38.219303458112236,0.8639,0.8411921050431846,-2.6285328112993813,0.9737146718870062,-999.026285328113,81.99813593413405
5,Viscosity_std_204,rLine1000,1000,138.90437406344466,18.24852863247468,10,10,36.273999318714765,0.8639,0.8402741230127374,-2.7347930301264722,0.9726520696987353,-999.0273479303013,81.99813593413405
6,Viscosity_std_204,rLine1000,1000,138.90437406344466,18.24852863247468,10,10,34.319755827574696,0.8639,0.844135475997952,-2.2878254429966405,0.9771217455700336,-999.02287825443,81.99813593413405
7,Viscosity_std_204,rLine1000,1000,138.90437406344466,18.24852863247468,10,10,32.37229275039788,0.8639,0.8412066761865249,-2.62684614115929,0.9737315385884071,-999.0262684614116,81.99813593413405
8,Viscosity_std_204,rLine1000,1000,138.90437406344466,18.24852863247468,10,10,30.41244951439264,0.8639,0.8465542857924638,-2.007838199737952,0.9799216180026205,-999.0200783819973,81.99813593413405
9,Viscosity_std_204,rLine1000,1000,138.90437406344466,18.24852863247468,10,10,28.45739642158532,0.8639,0.8444851834381225,-2.2473453596339263,0.9775265464036608,-999.0224734535964,81.99813593413405
10,Viscosity_std_204,rLine1000,500,138.90437406344466,18.24852863247468,10,10,27.47528213240055,0.8639,0.42422426721336004,-1.7885710815233153,0.4910571445923834,-499.5089428554076,81.99813593413405
11,Viscosity_std_204,rLine1000,500,138.90437406344466,18.24852863247468,10,10,26.50521066801619,0.8639,0.41902236904082546,-2.992853561563732,0.4850357321921813,-499.51496426780784,81.99813593413405
12,Viscosity_std_204,rLine1000,500,138.90437406344466,18.24852863247468,10,10,25.537837875856006,0.8639,0.41785667757359085,-3.2627207839817456,0.4836863960800913,-499.5163136039199,81.99813593413405
13,Viscosity_std_204,rLine1000,500,138.90437406344466,18.24852863247468,10,10,24.557174122991736,0.8639,0.4235977080497214,-1.9336247135730038,0.490331876432135,-499.50966812356785,81.99813593413405
14,Viscosity_std_204,rLine1000,500,138.90437406344466,18.24852863247468,10,10,23.591184400346446,0.8639,0.41725926069663327,-3.4010277354709406,0.4829948613226453,-499.51700513867735,81.99813593413405
15,Viscosity_std_204,rLine1000,500,138.90437406344466,18.24852863247468,10,10,22.606809973173927,0.8639,0.42520053381716905,-1.5625572827482244,0.4921872135862589,-499.50781278641375,81.99813593413405
16,Viscosity_std_204,rLine1000,500,138.90437406344466,18.24852863247468,10,10,21.64115758455666,0.8639,0.41711354926322886,-3.4347611382732133,0.48282619430863394,-499.51717380569136,81.99813593413405
17,Viscosity_std_204,rLine1000,500,138.90437406344466,18.24852863247468,10,10,20.675707596356204,0.8639,0.41702612240318626,-3.4550011799545643,0.4827249941002272,-499.51727500589976,81.99813593413405
18,Viscosity_std_204,rLine1000,500,138.90437406344466,18.24852863247468,10,10,19.74355247672157,0.8639,0.4026444039261791,-6.784488036536842,0.4660775598173158,-499.53392244018266,81.99813593413405
19,Viscosity_std_204,rLine1000,500,138.90437406344466,18.24852863247468,10,10,18.76703793240198,0.8639,0.4218054574188483,-2.34854556804068,0.4882572721597966,-499.5117427278402,81.99813593413405
20,Viscosity_std_204,rLine1000,300,138.90437406344466,18.24852863247468,10,10,18.17599498190372,0.8639,0.2553010024677228,-1.4928415836235702,0.2955214752491293,-299.70447852475087,81.99813593413405
21,Viscosity_std_204,rLine1000,300,138.90437406344466,18.24852863247468,10,10,17.60515833968401,0.8639,0.24657288760680354,-4.860559630048412,0.28541832110985477,-299.71458167889017,81.99813593413405
22,Viscosity_std_204,rLine1000,300,138.90437406344466,18.24852863247468,10,10,17.026124480583352,0.8639,0.2501136754385287,-3.4943568165572083,0.2895169295503284,-299.7104830704497,81.99813593413405
23,Viscosity_std_204,rLine1000,300,138.90437406344466,18.24852863247468,10,10,16.478698819908406,0.8639,0.23646051412854324,-8.762389887508881,0.27371283033747335,-299.7262871696625,81.99813593413405
24,Viscosity_std_204,rLine1000,300,138.90437406344466,18.24852863247468,10,10,15.910054848870843,0.8639,0.2456257632896754,-5.226004827072817,0.2843219855187816,-299.7156780144812,81.99813593413405
25,Viscosity_std_204,rLine1000,300,138.90437406344466,18.24852863247468,10,10,15.344379417279878,0.8639,0.24434350267571733,-5.720761401505837,0.2828377157954825,-299.7171622842045,81.99813593413405
26,Viscosity_std_204,rLine1000,300,138.90437406344466,18.24852863247468,10,10,14.76487329053999,0.8639,0.25031767144529476,-3.4156455433519493,0.28975306336994416,-299.71024693663,81.99813593413405
