Time,Value,Factor,Baseline,Mass,Mass_smooth,Mass_derivative_smooth,ts,Mass_sigmoid,Flow_rate
2023-10-16 09:44:31.427076,385382,6.862879436681862,385485.97564687976,0.0,0.0,0.0176134699719519,10.209842205047607,-1.443219244062334,
2023-10-16 09:44:31.614865,385397,6.862879436681862,385485.97564687976,2.185671501064917,-0.07365632897361607,-0.07365632897361607,10.3976309299469,-1.4434375913845088,-0.0011627286052021816
2023-10-16 09:44:31.815289,385347,6.862879436681862,385485.97564687976,-5.099900169151475,-0.07365632897361607,0.0,10.598055124282837,-1.4437244328676115,-0.0014311719403595448
2023-10-16 09:44:32.028793,385323,6.862879436681862,385485.97564687976,-8.596974570855341,0.006404898171620488,0.08006122714523656,10.811559200286865,-1.444105753980466,-0.0017860132695888154
2023-10-16 09:44:32.216268,385345,6.862879436681862,385485.97564687976,-5.391323035960131,-0.13610408614690428,-0.14250898431852477,10.99903416633606,-1.4445204094377004,-0.002211791077885009
2023-10-16 09:44:32.428634,385397,6.862879436681862,385485.97564687976,2.185671501064917,-0.41791960569813824,-0.28181551955123396,11.211400270462036,-1.4451023057840757,-0.002740062256027941
2023-10-16 09:44:32.629637,385363,6.862879436681862,385485.97564687976,-2.7685172346822284,-0.7653853315084511,-0.3474657258103129,11.412403106689453,-1.4457890833008378,-0.0034167553535663603
2023-10-16 09:44:32.828892,385363,6.862879436681862,385485.97564687976,-2.7685172346822284,-1.2937894306670081,-0.528404099158557,11.611658096313477,-1.4466322539212797,-0.004231616091686902
2023-10-16 09:44:33.029191,385359,6.862879436681862,385485.97564687976,-3.35136296829954,-1.9887208822876445,-0.6949314516206364,11.811957120895386,-1.4476816435465025,-0.005239115005244062
2023-10-16 09:44:33.228793,385327,6.862879436681862,385485.97564687976,-8.01412883723803,-2.8838054017713723,-0.8950845194837278,12.011559247970581,-1.4489765561585273,-0.006487469001454671
2023-10-16 09:44:33.429277,385352,6.862879436681862,385485.97564687976,-4.371343002129834,-4.038288297205657,-1.1544828954342847,12.212043046951294,-1.4505873028479073,-0.008034298519727034
2023-10-16 09:44:33.628967,385338,6.862879436681862,385485.97564687976,-6.411303069790424,-5.391323035960134,-1.3530347387544772,12.411732912063599,-1.4525742320378185,-0.00995007527694928
2023-10-16 09:44:33.829519,385334,6.862879436681862,385485.97564687976,-6.994148803407736,-6.965326761635453,-1.5740037256753183,12.612285137176514,-1.455045733450902,-0.012323480388671239
2023-10-16 09:44:34.027041,385363,6.862879436681862,385485.97564687976,-2.7685172346822284,-8.712262737944481,-1.7469359763090289,12.809807062149048,-1.4580567924458592,-0.015244176034513295
2023-10-16 09:44:34.233015,385314,6.862879436681862,385485.97564687976,-9.908377471494294,-10.707388518403743,-1.9951257804592615,13.015781164169312,-1.4619529765442394,-0.018915893115518532
2023-10-16 09:44:34.428779,385351,6.862879436681862,385485.97564687976,-4.517054435534163,-12.97152002207098,-2.2641315036672367,13.21154522895813,-1.4665419727015205,-0.02344146338722355
2023-10-16 09:44:34.629060,385367,6.862879436681862,385485.97564687976,-2.185671501064917,-15.469430309002323,-2.4979102869313436,13.411826133728027,-1.472344005535433,-0.028969475849824587
2023-10-16 09:44:34.829055,385339,6.862879436681862,385485.97564687976,-6.265591636386098,-18.287585504514592,-2.8181551955122686,13.611821174621582,-1.4795195629646969,-0.03587867677720523
2023-10-16 09:44:35.028995,385346,6.862879436681862,385485.97564687976,-5.245611602555801,-21.321906013319012,-3.03432050880442,13.811761140823364,-1.4884023880871382,-0.0444274613584592
2023-10-16 09:44:35.229169,385311,6.862879436681862,385485.97564687976,-10.345511771707276,-24.56438571270105,-3.242479699382038,14.011934995651245,-1.4994155875136812,-0.05501817125924201
2023-10-16 09:44:35.427414,385320,6.862879436681862,385485.97564687976,-9.034108871068327,-28.163938485150798,-3.599552772449748,14.210180044174194,-1.5129097743829334,-0.06806821643109072
2023-10-16 09:44:35.630676,385356,6.862879436681862,385485.97564687976,-3.7884972685125256,-32.11736188158251,-3.9534233964317167,14.413442134857178,-1.5300574956232822,-0.08436261372069202
2023-10-16 09:44:35.835100,385313,6.862879436681862,385485.97564687976,-10.05408890489862,-36.28534936676347,-4.1679874851809515,14.617866039276123,-1.551500262335594,-0.10489363645245287
2023-10-16 09:44:36.029310,385326,6.862879436681862,385485.97564687976,-8.15984027064236,-40.74956339238173,-4.464214025618261,14.812076091766357,-1.5767011479680377,-0.12976097431265002
2023-10-16 09:44:36.228712,385355,6.862879436681862,385485.97564687976,-3.9342087019168517,-45.35308395323277,-4.603520560851038,15.011477947235107,-1.6086324815568105,-0.1601355890781919
2023-10-16 09:44:36.429030,385341,6.862879436681862,385485.97564687976,-5.974168769577442,-50.468996367813276,-5.115912414580507,15.211796045303345,-1.6483441943905746,-0.19824326017830143
2023-10-16 09:44:36.628635,385382,6.862879436681862,385485.97564687976,0.0,-55.68578592859683,-5.216789560783553,15.41140103340149,-1.6973327758943242,-0.24542764171635956
2023-10-16 09:44:36.829059,385352,6.862879436681862,385485.97564687976,-4.371343002129834,-61.13475304810147,-5.448967119504644,15.611825227737427,-1.7582320449841973,-0.3038518842081403
2023-10-16 09:44:37.029037,385402,6.862879436681862,385485.97564687976,2.9142286680865563,-66.78547446001218,-5.650721411910709,15.811803102493286,-1.8334685916596527,-0.37622435365565854
2023-10-16 09:44:37.227898,385369,6.862879436681862,385485.97564687976,-1.894248634256261,-72.74042853507476,-5.954954075062574,16.010664224624634,-1.9260188749930194,-0.46540159454715974
