Time,Value,Factor,Baseline,Mass,Mass_smooth,Mass_derivative_smooth,ts
2023-08-31 10:35:48.688597,384666,6.862879436681862,384796.2394957983,0.0,0.0,-0.04803673628714478,10.176368951797485
2023-08-31 10:35:48.887982,384654,6.862879436681862,384796.2394957983,-1.7485372008519313,-0.012809796343248081,-0.012809796343248081,10.375754117965698
2023-08-31 10:35:49.090652,384663,6.862879436681862,384796.2394957983,-0.43713430021298194,-0.16012245429047312,-0.14731265794722503,10.578423976898193
2023-08-31 10:35:49.289462,384669,6.862879436681862,384796.2394957983,0.4371343002129855,-0.27701184592251593,-0.11688939163204282,10.777234077453613
2023-08-31 10:35:49.490737,384629,6.862879436681862,384796.2394957983,-5.391323035960127,-0.44033674929879396,-0.16332490337627803,10.978508949279785
2023-08-31 10:35:49.688493,384645,6.862879436681862,384796.2394957983,-3.0599401014908842,-0.6484959398764047,-0.2081591905776108,11.176265001296997
2023-08-31 10:35:49.892369,384682,6.862879436681862,384796.2394957983,2.3313829344692465,-0.8726673758830614,-0.22417143600665668,11.380140781402588
2023-08-31 10:35:50.091564,384692,6.862879436681862,384796.2394957983,3.7884972685125238,-1.2345441225795248,-0.3618767466964634,11.579335927963257
2023-08-31 10:35:50.296275,384662,6.862879436681862,384796.2394957983,-0.5828457336173116,-1.6572674019063633,-0.4227232793268385,11.78404688835144
2023-08-31 10:35:50.491505,384636,6.862879436681862,384796.2394957983,-4.371343002129834,-2.2801437490962897,-0.6228763471899263,11.979276895523071
2023-08-31 10:35:50.697760,384650,6.862879436681862,384796.2394957983,-2.331382934469243,-3.0487315296905457,-0.768587780594256,12.185532093048096
2023-08-31 10:35:50.897837,384668,6.862879436681862,384796.2394957983,0.2914228668086558,-3.9966564590901292,-0.9479249293995835,12.385609149932861
2023-08-31 10:35:51.096534,384664,6.862879436681862,384796.2394957983,-0.2914228668086558,-5.079084250093715,-1.0824277910035853,12.584306001663208
2023-08-31 10:35:51.297300,384636,6.862879436681862,384796.2394957983,-4.371343002129834,-6.42891653976238,-1.3498322896686652,12.785071849822998
2023-08-31 10:35:51.498874,384642,6.862879436681862,384796.2394957983,-3.497074401703866,-7.789957401231376,-1.3610408614689966,12.986646175384521
2023-08-31 10:35:51.698429,384678,6.862879436681862,384796.2394957983,1.7485372008519349,-9.37837214779282,-1.588414746561444,13.186200857162476
2023-08-31 10:35:51.899504,384636,6.862879436681862,384796.2394957983,-4.371343002129834,-11.050050570585348,-1.671678422792528,13.38727617263794
2023-08-31 10:35:52.096560,384620,6.862879436681862,384796.2394957983,-6.70272593659908,-12.90426859126898,-1.854218020683632,13.58433222770691
2023-08-31 10:35:52.296151,384591,6.862879436681862,384796.2394957983,-10.928357505324588,-15.006676416102849,-2.1024078248338682,13.783922910690308
2023-08-31 10:35:52.497067,384612,6.862879436681862,384796.2394957983,-7.868417403833703,-17.362077718715675,-2.355401302612826,13.984838962554932
2023-08-31 10:35:52.698478,384598,6.862879436681862,384796.2394957983,-9.90837747149429,-19.85518433201827,-2.4931066133025936,14.18624997138977
2023-08-31 10:35:52.897295,384625,6.862879436681862,384796.2394957983,-5.974168769577439,-22.564456258613056,-2.7092719265947878,14.385066986083984
2023-08-31 10:35:53.098852,384698,6.862879436681862,384796.2394957983,4.662765868938491,-25.3393783914669,-2.7749221328538454,14.586624145507812
2023-08-31 10:35:53.302608,384691,6.862879436681862,384796.2394957983,3.642785835108196,-28.303245020383514,-2.9638666289166125,14.790379762649536
2023-08-31 10:35:53.496052,384641,6.862879436681862,384796.2394957983,-3.642785835108196,-31.492884309849664,-3.1896392894661503,14.983824014663696
2023-08-31 10:35:53.697375,384699,6.862879436681862,384796.2394957983,4.808477302342819,-34.82503258363437,-3.3321482737847035,15.185147047042847
2023-08-31 10:35:53.898606,384661,6.862879436681862,384796.2394957983,-0.7285571670216378,-38.49664046051482,-3.6716078768804508,15.386378049850464
2023-08-31 10:35:54.098288,384628,6.862879436681862,384796.2394957983,-5.537034469364457,-42.32196589351416,-3.8253254329993425,15.586060047149658
2023-08-31 10:35:54.297362,384664,6.862879436681862,384796.2394957983,-0.2914228668086558,-46.3202235771472,-3.9982576836330423,15.785133838653564
2023-08-31 10:35:54.505472,384588,6.862879436681862,384796.2394957983,-11.36549180553757,-50.36972044615315,-4.049496869005949,15.993243932723999
2023-08-31 10:35:54.704943,384671,6.862879436681862,384796.2394957983,0.7285571670216413,-54.74266467282595,-4.3729442266728,16.192715167999268
2023-08-31 10:35:54.899729,384649,6.862879436681862,384796.2394957983,-2.4770943678735726,-59.19567012664392,-4.4530054538179655,16.387501001358032
2023-08-31 10:35:55.104392,384636,6.862879436681862,384796.2394957983,-4.371343002129834,-63.76876742117976,-4.573097294535842,16.592164039611816
2023-08-31 10:35:55.307296,384614,6.862879436681862,384796.2394957983,-7.5769945370250475,-68.57564349897963,-4.8068760777998705,16.79506802558899
2023-08-31 10:35:55.505313,384645,6.862879436681862,384796.2394957983,-3.0599401014908842,-73.5042126420403,-4.92856914306067,16.99308490753174
2023-08-31 10:35:55.704594,384672,6.862879436681862,384796.2394957983,0.8742686004259674,-78.63613730204989,-5.131924660009588,17.192365884780884
2023-08-31 10:35:55.906776,384632,6.862879436681862,384796.2394957983,-4.954188735747145,-83.82090237197536,-5.184765069925476,17.394547939300537
2023-08-31 10:35:56.106775,384665,6.862879436681862,384796.2394957983,-0.14571143340432613,-89.1305629562473,-5.309660584271938,17.594547033309937
