Time,Value,Factor,Baseline,Mass,Mass_smooth,Mass_derivative_smooth,ts,Mass_sigmoid
2023-09-13 09:52:57.291517,381827,6.862879436681862,381982.0158172232,-10.491223205111606,-134.00167832206571,-7.508141881680132,17.82612895965576,-13.819512572232838
2023-09-13 09:52:57.491715,381860,6.862879436681862,381982.0158172232,-5.6827459027687866,-141.65232918806447,-7.650650865998756,18.026326894760132,-15.244709874074942
2023-09-13 09:52:57.691802,381854,6.862879436681862,381982.0158172232,-6.557014503194754,-149.5367588373272,-7.884429649262728,18.22641396522522,-16.919186874539037
2023-09-13 09:52:57.889826,381804,6.862879436681862,381982.0158172232,-13.842586173411146,-157.54288155185074,-8.006122714523542,18.424437999725342,-18.863458395771886
2023-09-13 09:52:58.089822,381832,6.862879436681862,381982.0158172232,-9.762666038089964,-165.68510835252107,-8.14222680067033,18.624433994293213,-21.164295938962027
2023-09-13 09:52:58.291643,381753,6.862879436681862,381982.0158172232,-21.273869277031864,-173.95703434116672,-8.271925988645648,18.826254844665527,-23.88483146666715
2023-09-13 09:52:58.490909,381735,6.862879436681862,381982.0158172232,-23.896675078309762,-182.1072672645516,-8.150232923384891,19.02552080154419,-27.025587779486955
2023-09-13 09:52:58.690726,381754,6.862879436681862,381982.0158172232,-21.128157843627534,-190.60656713828985,-8.499299873738238,19.225337743759155,-30.69785333051982
2023-09-13 09:52:58.897285,381790,6.862879436681862,381982.0158172232,-15.882546241071733,-199.11867680837122,-8.512109670081372,19.431897163391113,-35.12614050444313
2023-09-13 09:52:59.091498,381773,6.862879436681862,381982.0158172232,-18.359640608945305,-207.72525872648407,-8.606581918112852,19.626109838485718,-39.958558151707734
2023-09-13 09:52:59.291492,381753,6.862879436681862,381982.0158172232,-21.273869277031864,-216.31903084825348,-8.593772121769405,19.826103925704956,-45.70316722759617
2023-09-13 09:52:59.490998,381636,6.862879436681862,381982.0158172232,-38.32210698533822,-224.9528335835957,-8.633802735342215,20.025609970092773,-52.3073450788022
2023-09-13 09:52:59.691408,381541,6.862879436681862,381982.0158172232,-52.16469315874936,-233.67630489334056,-8.723471309744866,20.226019859313965,-59.92261448964143
2023-09-13 09:52:59.891285,381465,6.862879436681862,381982.0158172232,-63.238762097478286,-242.4462117148296,-8.76990682148903,20.425896883010864,-68.60141188766352
2023-09-13 09:53:00.091738,381357,6.862879436681862,381982.0158172232,-78.97559690514568,-251.24814302717675,-8.801931312347165,20.626350164413452,-78.49534437483203
2023-09-13 09:53:00.292112,381277,6.862879436681862,381982.0158172232,-90.63251157749191,-260.10291474943966,-8.85477172226291,20.82672381401062,-89.67352820281837
2023-09-13 09:53:00.490986,381130,6.862879436681862,381982.0158172232,-112.0520922879281,-268.95288279807403,-8.849968048634366,21.02559781074524,-102.12615527960611
2023-09-13 09:53:00.697990,381046,6.862879436681862,381982.0158172232,-124.29185269389163,-277.9325500346835,-8.979667236609487,21.23260188102722,-116.59707597295926
2023-09-13 09:53:00.891885,380871,6.862879436681862,381982.0158172232,-149.791353539649,-286.8177450232618,-8.885194988578291,21.426496982574463,-131.59132658809756
2023-09-13 09:53:01.090991,380773,6.862879436681862,381982.0158172232,-164.07107401327315,-295.7669889935561,-8.949243970294276,21.625602960586548,-148.45320683926616
2023-09-13 09:53:01.291797,380664,6.862879436681862,381982.0158172232,-179.95362025434488,-304.7242390865649,-8.957250093008838,21.826408863067627,-166.94408462102933
2023-09-13 09:53:01.491899,380481,6.862879436681862,381982.0158172232,-206.61881256733687,-313.9200716364666,-9.195832549901695,22.02651071548462,-186.79835011212333
2023-09-13 09:53:01.691612,380435,6.862879436681862,381982.0158172232,-213.32153850393595,-322.98780622293606,-9.067734586469442,22.226223945617676,-207.94225555866342
2023-09-13 09:53:01.898044,380319,6.862879436681862,381982.0158172232,-230.22406477883797,-332.07955917754896,-9.0917529546129,22.432655811309814,-231.05371610652787
2023-09-13 09:53:02.100581,380166,6.862879436681862,381982.0158172232,-252.51791408970016,-341.34264315825254,-9.263083980703584,22.63519310951233,-254.79812528718196
2023-09-13 09:53:02.291815,380031,6.862879436681862,381982.0158172232,-272.18895759928444,-350.49204019641,-9.149397038157474,22.82642674446106,-278.0098835157477
2023-09-13 09:53:02.505279,379783,6.862879436681862,381982.0158172232,-308.32539308355774,-359.7615290752853,-9.26948887887528,23.039891004562378,-304.6007569052332
2023-09-13 09:53:02.705719,379623,6.862879436681862,381982.0158172232,-331.63922242825015,-369.0870608131625,-9.325531737877213,23.240330934524536,-329.9947120776794
2023-09-13 09:53:02.905484,379437,6.862879436681862,381982.0158172232,-358.7415490414551,-378.4125925510393,-9.325531737876815,23.440095901489258,-355.490052259162
2023-09-13 09:53:03.105736,379296,6.862879436681862,381982.0158172232,-379.28686115146536,-387.8470075578337,-9.434415006794381,23.640347957611084,-381.0244896373268
2023-09-13 09:53:03.305607,379159,6.862879436681862,381982.0158172232,-399.2493275278582,-397.2910299118859,-9.444022354052208,23.840218782424927,-406.29272322304655
2023-09-13 09:53:03.506995,378956,6.862879436681862,381982.0158172232,-428.82874850893677,-406.7718804304246,-9.48085051853866,24.041606903076172,-431.35640367837436
2023-09-13 09:53:03.710003,378715,6.862879436681862,381982.0158172232,-463.9452039593798,-416.0717925756152,-9.299912145190603,24.244614839553833,-456.0633508262828
2023-09-13 09:53:03.909428,378593,6.862879436681862,381982.0158172232,-481.72199883470785,-425.533428399639,-9.461635824023801,24.444039821624756,-479.6617983687984
2023-09-13 09:53:04.110034,378499,6.862879436681862,381982.0158172232,-495.41887357471467,-434.9198066701462,-9.386378270507237,24.644645929336548,-502.62655813938704
2023-09-13 09:53:04.311041,378337,6.862879436681862,381982.0158172232,-519.0241257862158,-444.32219718608263,-9.402390515936418,24.84565305709839,-524.7820704081203
2023-09-13 09:53:04.509013,378216,6.862879436681862,381982.0158172232,-536.6552092281395,-453.6173056576444,-9.295108471561775,25.043624877929688,-545.7126264630373
2023-09-13 09:53:04.708981,378017,6.862879436681862,381982.0158172232,-565.6517844756007,-463.1317818915843,-9.514476233939888,25.243592977523804,-565.9224661761082
2023-09-13 09:53:04.910056,377990,6.862879436681862,381982.0158172232,-569.5859931775175,-472.60942996103716,-9.477648069452869,25.44466781616211,-585.2815787186323
2023-09-13 09:53:05.109969,377773,6.862879436681862,381982.0158172232,-601.2053742262567,-482.1126976231764,-9.503267662139251,25.644580841064453,-603.5677570601628
2023-09-13 09:53:05.313835,377672,6.862879436681862,381982.0158172232,-615.9222290000938,-491.61916773440174,-9.506470111225326,25.8484468460083,-621.2362972068981
2023-09-13 09:53:05.509608,377589,6.862879436681862,381982.0158172232,-628.016277972653,-501.2008953991436,-9.581727664741834,26.044219970703125,-637.2889550966208
2023-09-13 09:53:05.710702,377487,6.862879436681862,381982.0158172232,-642.8788441798944,-510.7810218393424,-9.580126440198796,26.245314121246338,-652.8687577342304
2023-09-13 09:53:05.912948,377346,6.862879436681862,381982.0158172232,-663.4241562899047,-520.313111543254,-9.532089703911652,26.44755983352661,-667.638066105858
2023-09-13 09:53:06.112033,377255,6.862879436681862,381982.0158172232,-676.6838967296985,-529.8756245134808,-9.562512970226862,26.646645069122314,-681.3282638335494
2023-09-13 09:53:06.315047,377144,6.862879436681862,381982.0158172232,-692.8578658375789,-539.4957815672523,-9.620157053771436,26.849658966064453,-694.4583078475969
2023-09-13 09:53:06.513890,377097,6.862879436681862,381982.0158172232,-699.7063032075823,-549.0262700466213,-9.530488479369069,27.04850196838379,-706.542808757285
2023-09-13 09:53:06.712960,376971,6.862879436681862,381982.0158172232,-718.0659438165276,-558.6464271003925,-9.620157053771209,27.24757194519043,-717.9094230934595
2023-09-13 09:53:06.909206,376868,6.862879436681862,381982.0158172232,-733.0742214571734,-568.2809951750502,-9.634568074657636,27.443817853927612,-728.4344659336023
2023-09-13 09:53:07.109348,376773,6.862879436681862,381982.0158172232,-746.9168076305845,-577.8226922262191,-9.541697051168967,27.643959999084473,-738.5095397399689
2023-09-13 09:53:07.316919,376730,6.862879436681862,381982.0158172232,-753.1823992669706,-587.4028186664179,-9.580126440198796,27.85153102874756,-748.2946275860776
2023-09-13 09:53:07.514828,376698,6.862879436681862,381982.0158172232,-757.845165135909,-596.9829451066171,-9.580126440199138,28.049439907073975,-757.0306317623412
2023-09-13 09:53:07.717076,376591,6.862879436681862,381982.0158172232,-773.4362885101722,-606.4301699097546,-9.447224803137487,28.25168800354004,-765.3946422085569
2023-09-13 09:53:07.918970,376543,6.862879436681862,381982.0158172232,-780.4304373135799,-615.9270326737222,-9.49686276396767,28.453582048416138,-773.2095073970158
2023-09-13 09:53:08.117981,376488,6.862879436681862,381982.0158172232,-788.4445661508179,-625.527975032979,-9.600942359256806,28.65259289741516,-780.4216129398578
2023-09-13 09:53:08.319982,376431,6.862879436681862,381982.0158172232,-796.7501178548646,-635.053659838719,-9.525684805739957,28.854593992233276,-787.273834750771
2023-09-13 09:53:08.519919,376373,6.862879436681862,381982.0158172232,-805.2013809923156,-644.5281054590862,-9.474445620367192,29.05453109741211,-793.6200587373473
2023-09-13 09:53:08.718905,376356,6.862879436681862,381982.0158172232,-807.6784753601892,-653.7703735207323,-9.242268061646087,29.253516912460327,-799.5321404670742
2023-09-13 09:53:08.909149,376338,6.862879436681862,381982.0158172232,-810.301281161467,-662.8877460680316,-9.117372547299283,29.443760871887207,-804.8307741479209
2023-09-13 09:53:09.119988,376342,6.862879436681862,381982.0158172232,-809.7184354278498,-671.8177753438109,-8.930029275779361,29.654599905014038,-810.3244183730051
2023-09-13 09:53:09.318953,376305,6.862879436681862,381982.0158172232,-815.10975846381,-680.6036944107291,-8.785919066918154,29.853564977645874,-815.1666567054639
2023-09-13 09:53:09.522649,376295,6.862879436681862,381982.0158172232,-816.5668727978532,-689.2150800024708,-8.611385591741737,30.057260990142822,-819.8022691431539
2023-09-13 09:53:09.719006,376213,6.862879436681862,381982.0158172232,-828.515210337008,-697.658337017207,-8.443257014736218,30.253618001937866,-823.9822761973898
2023-09-13 09:53:09.919916,376205,6.862879436681862,381982.0158172232,-829.6809018042427,-705.9366679040244,-8.278330886817344,30.454527854919434,-827.9847217461951
2023-09-13 09:53:10.122230,376207,6.862879436681862,381982.0158172232,-829.3894789374341,-713.8547232686878,-7.9180553646634735,30.65684199333191,-831.7525325161723
2023-09-13 09:53:10.309221,376172,6.862879436681862,381982.0158172232,-834.4893791065855,-721.6030488318041,-7.748325563116282,30.843832969665527,-835.0154236090833
2023-09-13 09:53:10.520916,376090,6.862879436681862,381982.0158172232,-846.4377166457404,-729.2985339850039,-7.695485153199797,31.055527925491333,-838.4712176475334
2023-09-13 09:53:10.720898,376133,6.862879436681862,381982.0158172232,-840.1721250093543,-736.7474305585968,-7.448896573592833,31.255510091781616,-841.5183959648656
2023-09-13 09:53:10.922497,376091,6.862879436681862,381982.0158172232,-846.2920052123361,-744.1098610068724,-7.3624304482756315,31.457108974456787,-844.3904869235215
2023-09-13 09:53:11.122049,376046,6.862879436681862,381982.0158172232,-852.8490197155309,-751.2817457345426,-7.171884727670204,31.65666103363037,-847.0486965724956
2023-09-13 09:53:11.322334,376104,6.862879436681862,381982.0158172232,-844.3977565780798,-758.1830235144619,-6.901277779919269,31.856945991516113,-849.54383528047
2023-09-13 09:53:11.522706,376060,6.862879436681862,381982.0158172232,-850.8090596478702,-764.8393139393166,-6.656290424854774,32.05731797218323,-851.8779932609425
2023-09-13 09:53:11.722013,376061,6.862879436681862,381982.0158172232,-850.6633482144659,-771.0824884321022,-6.243174492785556,32.256624937057495,-854.049331893622
2023-09-13 09:53:11.922483,376084,6.862879436681862,381982.0158172232,-847.3119852461664,-777.0710682225657,-5.988579790463518,32.45709490776062,-856.0918054418589
2023-09-13 09:53:12.122247,376008,6.862879436681862,381982.0158172232,-858.3860541848953,-782.8642986187949,-5.793230396229205,32.656858921051025,-857.9950203220234
2023-09-13 09:53:12.322890,375984,6.862879436681862,381982.0158172232,-861.8831285865991,-788.3837196181876,-5.519420999392651,32.85750198364258,-859.7825104604315
2023-09-13 09:53:12.522440,375927,6.862879436681862,381982.0158172232,-870.1886802906458,-793.6341348943721,-5.250415276184526,33.05705189704895,-861.4448941132821
2023-09-13 09:53:12.722641,376010,6.862879436681862,381982.0158172232,-858.0946313180866,-798.5386856692891,-4.90455077491697,33.25725293159485,-863.004581495188
2023-09-13 09:53:12.922352,375974,6.862879436681862,381982.0158172232,-863.3402429206425,-803.1165866374535,-4.577900968164386,33.45696401596069,-864.4595391004574
2023-09-13 09:53:13.122394,375944,6.862879436681862,381982.0158172232,-867.7115859227723,-807.4414941278393,-4.32490749038584,33.65700602531433,-865.822416905112
2023-09-13 09:53:13.322519,375942,6.862879436681862,381982.0158172232,-868.0030087895809,-811.6110828375631,-4.169588709723826,33.857131004333496,-867.0973659364524
2023-09-13 09:53:13.522373,376029,6.862879436681862,381982.0158172232,-855.3261140834044,-815.5693099076233,-3.958227070060161,34.0569851398468,-868.2879846428327
2023-09-13 09:53:13.721973,375910,6.862879436681862,381982.0158172232,-872.6657746585195,-819.4042426878802,-3.8349327802569633,34.256584882736206,-869.4000360381089
2023-09-13 09:53:13.925776,375941,6.862879436681862,381982.0158172232,-868.1487202229853,-822.8596852514687,-3.4554425635884627,34.46038770675659,-870.4612320400644
2023-09-13 09:53:14.125654,375895,6.862879436681862,381982.0158172232,-874.8514461595844,-826.2782996505699,-3.418614399101216,34.66026592254639,-871.433853214446
2023-09-13 09:53:14.322186,375876,6.862879436681862,381982.0158172232,-877.6199633942665,-829.4054911828631,-3.127191532293182,34.85679793357849,-872.3286696200813
2023-09-13 09:53:14.522349,375919,6.862879436681862,381982.0158172232,-871.3543717578805,-832.3997810780947,-2.9942898952316455,35.05696105957031,-873.1813602314302
2023-09-13 09:53:14.721852,375892,6.862879436681862,381982.0158172232,-875.2885804597973,-835.2275436208643,-2.8277625427695057,35.25646376609802,-873.9761324507145
2023-09-13 09:53:14.922150,375897,6.862879436681862,381982.0158172232,-874.5600232927757,-837.9832510592034,-2.7557074383391864,35.456761837005615,-874.7223202212322
2023-09-13 09:53:15.122537,375893,6.862879436681862,381982.0158172232,-875.142869026393,-840.4091062417039,-2.4258551825004133,35.65714883804321,-875.4203164616466
2023-09-13 09:53:15.322482,375843,6.862879436681862,381982.0158172232,-882.4284406966094,-842.7677099934027,-2.3586037516988654,35.857093811035156,-876.0715417163558
2023-09-13 09:53:15.522456,375875,6.862879436681862,381982.0158172232,-877.7656748276709,-844.9117496563523,-2.144039662949581,36.05706810951233,-876.6806049206646
